name,design_phase,x,y,z,max_error_pct,rms_error_pct,hd0,hd1,a0,a1
baseline_zero_bias,baseline,0.0,0.0,0.0,0.5971584019204612,0.35101551341854126,2.6840562440513107,-0.6626255294287504,0.261346524725486,0.24187150737623905
corridor_x_m3p0pct,corridor,-0.03,0.0,0.0,0.3242881241969031,0.2144735799122802,2.676035151243779,-0.6657977431486863,0.2621321686402539,0.24384232619664725
corridor_x_m5p0pct,corridor,-0.05,0.0,0.0,0.8417614443077204,0.4265932474137206,2.6706586419698763,-0.6679327254010758,0.26266380816873336,0.24517440544336466
corridor_x_m8p0pct,corridor,-0.08,0.0,0.0,1.6581059800927722,0.815940439916108,2.662505955823255,-0.6711631593021279,0.26349076267559907,0.24720444170154415
corridor_x_p3p0pct,corridor,0.03,0.0,0.0,1.3376489962531046,0.7304862881160017,2.6920877517290007,-0.6595078451635153,0.2605806946134432,0.23993434310126924
corridor_x_p5p0pct,corridor,0.05,0.0,0.0,1.8777160092587675,0.99394072671714,2.697334355845812,-0.657430841208981,0.26007717911341954,0.2386607204777858
corridor_x_p8p0pct,corridor,0.08,0.0,0.0,2.6824657597689816,1.3903142002457736,2.7050341634543726,-0.6543177805418823,0.2593322829367687,0.2367772092737063
corridor_y_m3p0pct,corridor,0.0,-0.03,0.0,2.2445849078993607,1.178012251228454,2.626776627966882,-0.652443140874221,0.26437842126529393,0.2428992873344007
corridor_y_m5p0pct,corridor,0.0,-0.05,0.0,3.3734749893569838,1.7336950066790644,2.588861767906506,-0.6469306002610689,0.2668633721018257,0.2441134705205962
corridor_y_m8p0pct,corridor,0.0,-0.08,0.0,5.043812389803892,2.563485640005636,2.532410981939725,-0.6404391632676094,0.2713060483827583,0.24674048056495707
corridor_y_p3p0pct,corridor,0.0,0.03,0.0,1.2166436175105266,0.5805780323349613,2.7406692485458115,-0.6749358696172401,0.25914396814292856,0.2417631597340246
corridor_y_p5p0pct,corridor,0.0,0.05,0.0,2.376190940274203,1.154738366741153,2.7777525028935837,-0.6843111194272811,0.2581312236659645,0.2421827990915575
corridor_y_p8p0pct,corridor,0.0,0.08,0.0,4.11254552891439,2.0360296993551055,2.831359433020028,-0.6998781580779324,0.2572457871105886,0.24349555571025988
corridor_z_m3p0pct,corridor,0.0,0.0,-0.03,0.46826053081229224,0.26184291757897127,2.6835270540539238,-0.6619810422647738,0.2609131657693073,0.2416824076194258
corridor_z_m5p0pct,corridor,0.0,0.0,-0.05,0.37783272581901617,0.1991139450955155,2.683005216286636,-0.6615086385245459,0.2606131816819469,0.24155565176772534
corridor_z_m8p0pct,corridor,0.0,0.0,-0.08,0.2475184761409399,0.11269155127485926,2.6821126524874606,-0.6607826319293119,0.2601783281787398,0.2413703675164203
corridor_z_p3p0pct,corridor,0.0,0.0,0.03,0.7250418068224795,0.4392389581771819,2.684737198887123,-0.6633111737618529,0.26177835062590166,0.24206248980743014
corridor_z_p5p0pct,corridor,0.0,0.0,0.05,0.8136950124582709,0.5007240729611622,2.685215847049093,-0.6637794302728645,0.26207577494705286,0.2421926720653794
corridor_z_p8p0pct,corridor,0.0,0.0,0.08,0.9396410766657648,0.586644298833848,2.6856705811379142,-0.6644137164381886,0.262504203637793,0.2423862818725827
axis_x_m1p0pct,phase1_axis,-0.01,0.0,0.0,0.5068500320760339,0.24599468831930796,2.6813498224788486,-0.6636696832398642,0.2616079291281125,0.24252502067477835
axis_x_m2p0pct,phase1_axis,-0.02,0.0,0.0,0.4178928080763922,0.18687332405875287,2.678726020253059,-0.6647416124420166,0.26187519354292843,0.24318306566287534
axis_x_p1p0pct,phase1_axis,0.01,0.0,0.0,0.7954235683462318,0.4729962472430826,2.686759943317091,-0.6615875945054516,0.26109083191634247,0.24122237352545334
axis_x_p2p0pct,phase1_axis,0.02,0.0,0.0,1.069654728815972,0.6022982153188748,2.6894627355435006,-0.6605559260698736,0.26084070204311416,0.24057746121071744
axis_y_m1p0pct,phase1_axis,0.0,-0.01,0.0,1.0973562336181741,0.6188603413810447,2.665206125700971,-0.65904276345384,0.26226062166959185,0.24210977848318954
axis_y_m2p0pct,phase1_axis,0.0,-0.02,0.0,1.6741137791785654,0.8987740961645574,2.6461214867737586,-0.6556529656019888,0.26327588483633174,0.24245231091378786
axis_y_p1p0pct,phase1_axis,0.0,0.01,0.0,0.25337390601298804,0.16163630762024414,2.7031730545137003,-0.66652711687784,0.26051767186246394,0.2417342883167627
