domain,ratio,target,mean_observed,std_observed,mean_abs_relative_error_pct,max_abs_relative_error_pct
all_51,hQ_over_hd0,1.0476190476190477,1.0574818093434253,0.049574255283527616,1.7893027658559266,23.548043212477076
all_51,hu0_over_hd0,1.0952380952380953,1.0918687343344042,0.012555029148033027,0.6280555302244891,6.954505012746126
all_51,hu1_over_hd1,0.047619047619047616,0.04819838239522462,0.0014337996448985596,1.4485266998513504,16.456315004210932
all_51,a0_over_a1,1.0714285714285714,1.0700461562233436,0.030487223271864518,1.5246048345962082,14.857751118744256
local_33,hQ_over_hd0,1.0476190476190477,1.049858397404266,0.0126510472321539,0.946238391401387,3.073475486640609
local_33,hu0_over_hd0,1.0952380952380953,1.0928926671014774,0.00487916461265721,0.4026311030674004,1.0956266723324504
local_33,hu1_over_hd1,0.047619047619047616,0.04799760053672755,0.0004196964978708346,0.9061386786052934,2.716925853691221
local_33,a0_over_a1,1.0714285714285714,1.0713425367580673,0.014257236176455244,0.9742018987244133,2.6232383076134624
corridor_18,hQ_over_hd0,1.0476190476190477,1.0714580645652174,0.08128558484985922,3.3349207856892495,23.548043212477076
corridor_18,hu0_over_hd0,1.0952380952380953,1.0899915242614366,0.020323282720473422,1.0413336466791516,6.954505012746126
corridor_18,hu1_over_hd1,0.047619047619047616,0.048566482469135926,0.0023437416994120178,2.442904738802455,16.456315004210932
corridor_18,a0_over_a1,1.0714285714285714,1.0676694585763502,0.04839287851109056,2.533676883694499,14.857751118744256
