name,design_phase,hQ_over_hd0,hu0_over_hd0,hu1_over_hd1,a0_over_a1
baseline_zero_bias,baseline,1.0483039697011063,1.0930772006390275,0.0479550963713269,1.071606454559225
corridor_x_m3p0pct,corridor,1.0637823877995614,1.0929312982899932,0.048365810227463536,1.074069456850359
corridor_x_m5p0pct,corridor,1.0744975387042495,1.0928080139888783,0.04864716047363067,1.0756950835305246
corridor_x_m8p0pct,corridor,1.0907939765800385,1.092632829007638,0.04907402676065175,1.0782093280789449
corridor_x_p3p0pct,corridor,1.0333874845052522,1.093197002638249,0.04755521716286352,1.0691559981490728
corridor_x_p5p0pct,corridor,1.0238211533271218,1.0932533395933022,0.047295736924113416,1.0675094361157558
corridor_x_p8p0pct,corridor,1.0100187303902513,1.0933049241017214,0.046916736460576945,1.065023665825561
corridor_y_m3p0pct,corridor,1.0914601067259186,1.0776637808794196,0.0493889051136943,1.02903477960601
corridor_y_m5p0pct,corridor,1.1489365652891974,1.0634123010310927,0.051113804749788695,0.9956976252715242
corridor_y_m8p0pct,corridor,1.370297231934318,1.0240224057019123,0.0569989791825053,0.9328308808004506
corridor_y_p3p0pct,corridor,1.0305788697241751,1.1050495004090113,0.04723072048867888,1.1085264760076545
corridor_y_p5p0pct,corridor,1.0269263084369666,1.1119953338124418,0.04698134457166784,1.1310107306524482
corridor_y_p8p0pct,corridor,1.029761506141322,1.1214490310158942,0.0468419761759178,1.1623406971260588
corridor_z_m3p0pct,corridor,1.0511047388496655,1.092970757906491,0.04796289563269123,1.071476179995537
corridor_z_m5p0pct,corridor,1.0533180379322509,1.0928502309478834,0.04797519183059835,1.0712854625087442
corridor_z_m8p0pct,corridor,1.0564741356275469,1.0926881618996052,0.047992362714811346,1.071039659402873
corridor_z_p3p0pct,corridor,1.0456978772318608,1.0931533171648518,0.04795230394386892,1.0716741176407765
corridor_z_p5p0pct,corridor,1.043844343842664,1.09321811396494,0.04794930782141879,1.071749790501246
corridor_z_p8p0pct,corridor,1.0415441691315532,1.093247094352536,0.0479542042095054,1.0717208863107621
axis_x_m1p0pct,phase1_axis,1.0533625535821691,1.0930367276660407,0.048090122498086495,1.0724370710623115
axis_x_m2p0pct,phase1_axis,1.0584046346623721,1.0930039708349197,0.04822497248301631,1.0732911427107488
axis_x_p1p0pct,phase1_axis,1.0432327515342912,1.0931250464599447,0.04781996839278532,1.0707989048546276
axis_x_p2p0pct,phase1_axis,1.0381528475424413,1.0931799113147855,0.04768481550521877,1.0700140068352681
axis_y_m1p0pct,phase1_axis,1.059054942125445,1.0884399406659264,0.048332011048845255,1.0581514818035087
axis_y_m2p0pct,phase1_axis,1.0729668506378462,1.0833684218486939,0.04879853915870433,1.044040890833089
axis_y_p1p0pct,phase1_axis,1.0403971540596217,1.0973301361307057,0.04765629756167333,1.0844032957489071
axis_y_p2p0pct,phase1_axis,1.0345196770990368,1.101315844539789,0.047416853592883036,1.096716931789388
axis_z_m1p0pct,phase1_axis,1.049328735207885,1.093029679498629,0.04795910084880499,1.0715374935889068
axis_z_m2p0pct,phase1_axis,1.0500349933986335,1.0930253000150703,0.04795772158813537,1.0715596816684012
axis_z_p1p0pct,phase1_axis,1.0473022025047707,1.0931211737505113,0.047951687589139085,1.071668095312638
axis_z_p2p0pct,phase1_axis,1.046322977910013,1.0931616734425418,0.04794885941860539,1.0717225782823563
pair_xm1p5_ym1p5,phase2_interaction,1.0737832012384272,1.0858336352201343,0.048770232173508204,1.052416920118324
pair_xm1p5_yp1p5,phase2_interaction,1.044414198460526,1.0993418332510174,0.04772236450996991,1.0918674861601934
pair_xm1p5_zm1p5,phase2_interaction,1.0573162815092776,1.0929619896413005,0.048161917530147126,1.072785250506252
pair_xm1p5_zp1p5,phase2_interaction,1.0545058726729084,1.0930689034270282,0.04815453003279597,1.0729209401043092
pair_xp1p5_ym1p5,phase2_interaction,1.0574013321549662,1.0861033629743666,0.04833640465988063,1.0499835767104844
pair_xp1p5_yp1p5,phase2_interaction,1.0301026169855407,1.0993683793182478,0.04733860437097145,1.089390163653314
pair_xp1p5_zm1p5,phase2_interaction,1.0420147829361592,1.0931102939110597,0.04775455851714868,1.0703654988043514
pair_xp1p5_zp1p5,phase2_interaction,1.0394194250810969,1.0931856308583532,0.0477514241756871,1.0704266285627608
pair_ym1p5_zm1p5,phase2_interaction,1.0673012434540015,1.0858746087404847,0.048566869460577027,1.0510579229737662
pair_ym1p5_zp1p5,phase2_interaction,1.0640093107104964,1.0860323039558428,0.04854268259887813,1.0512637807760594
pair_yp1p5_zm1p5,phase2_interaction,1.0384419129032798,1.099319701184378,0.04752678178192945,1.0905852359602326
pair_yp1p5_zp1p5,phase2_interaction,1.036118649734707,1.099370154616931,0.04753467396839888,1.0906130215758691
validation_01,phase2_validation,1.0808383493361038,1.084274180856166,0.04894895441670665,1.0484780631157133
validation_02,phase2_validation,1.0457877280756407,1.097381789350831,0.04781165056608975,1.0856083902802889
validation_03,phase2_validation,1.03730523321793,1.1002275487853799,0.0475047802253743,1.0935284720697696
validation_04,phase2_validation,1.0424222261495515,1.0939149919943278,0.04774864157464862,1.0731628069980366
validation_05,phase2_validation,1.0299018328116334,1.0972452350687587,0.04741623416941774,1.0823463202238148
validation_06,phase2_validation,1.05540238735649,1.0880719061522375,0.048262218533131895,1.056283770766419
validation_07,phase2_validation,1.0615220851662521,1.089798349520554,0.04834740572678355,1.0630768260553702
validation_08,phase2_validation,1.0459341544201533,1.0927581887147682,0.04792384266273955,1.070194608551521
