name,design_phase,x,y,z,max_error_pct,rms_error_pct,hQ,hd0,hd1,a0,a1,err_ct,err_ut,err_sb,err_db,err_Vus,err_Vcb,err_Vub
baseline_zero_bias,baseline,0.0,0.0,0.0,0.10758505959417297,0.05212862722780656,2.7933575166184967,2.6898956515872467,-0.6644304513826755,0.26080879724690353,0.24235050922955204,-0.10758505959417297,0.02905157942987291,0.00943254096150703,0.04344215196441237,-0.06259031616870914,0.009625071372498795,-0.024836143984585668
corridor_x_m3p0pct,corridor,-0.03,0.0,0.0,0.35481260879799414,0.21333943131972327,2.8046226681218362,2.6756694120666595,-0.6656844145225382,0.2621659426130506,0.24381244376797526,-0.35481260879799414,0.019595991291887493,0.2561731160211078,0.22447441302608784,-0.05139851666545736,-0.07652081244742259,-0.26040224792734934
corridor_x_m5p0pct,corridor,-0.05,0.0,0.0,0.5201722895856409,0.3306864670556453,2.812224473452747,2.6661014444325577,-0.6665191084590648,0.2630854425236055,0.24480352974073924,-0.5201722895856409,0.012611498244363695,0.42231777438794804,0.34737825908077724,-0.04551450536081081,-0.13469323304350356,-0.41892567484405063
corridor_x_m8p0pct,corridor,-0.08,0.0,0.0,0.7677057900769002,0.5094473467128605,2.8234345417892808,2.6516788985058652,-0.6677951984883326,0.26449584640826534,0.24632644962573802,-0.7677057900769002,0.0004676555700910967,0.6747796090677216,0.5348108581321842,-0.03775684104786459,-0.22358934802528818,-0.6592540059067731
corridor_x_p3p0pct,corridor,0.03,0.0,0.0,0.23402079942532739,0.14698085947459955,2.7822264094613214,2.7040616803965998,-0.6632014466648858,0.25948061014401164,0.24092133310793706,0.13908996187999012,0.037004480874625045,-0.23402079942532739,-0.13366545742726776,-0.07606035132413647,0.09424207250914307,0.20786853517400505
corridor_x_p5p0pct,corridor,0.05,0.0,0.0,0.3946697619977235,0.2597074130815816,2.77483389762477,2.7133357709239245,-0.6623596741678779,0.25860895879293194,0.23998373602717837,0.30285657714050895,0.041661118516911344,-0.3946697619977235,-0.24955142588390933,-0.0865240963654812,0.1499164801069819,0.3614918011487722
corridor_x_p8p0pct,corridor,0.08,0.0,0.0,0.633127987343729,0.4295914557681699,2.7637925159202896,2.7269815352395392,-0.6610620274948069,0.2573215973110352,0.23859949997283353,0.5474843512659477,0.04760498027782667,-0.633127987343729,-0.4200209979338787,-0.10452806165778261,0.23236211510091476,0.5896180354970193
corridor_y_m3p0pct,corridor,0.0,-0.03,0.0,0.6437599736513921,0.398615067074413,2.6959147789689335,2.6460295200506696,-0.6579483425812825,0.2624833577912169,0.2443151969625105,-0.08221628658567903,0.23416372541666952,-0.6437599736513921,-0.20105774937630994,-0.4990764332866493,0.3215952839207281,0.49326838399408324
corridor_y_m5p0pct,corridor,0.0,-0.05,0.0,1.1057929035566016,0.6739344280611081,2.6339646313003517,2.617008622244562,-0.6546125456151736,0.2639586457753578,0.24605071738808762,-0.07423560239020466,0.37178616986157653,-1.1057929035566016,-0.37419353925698395,-0.8074184673451779,0.543662928629729,0.8516364839329604
corridor_y_m8p0pct,corridor,0.0,-0.08,0.0,1.854613472584421,1.1154437435951525,2.5441313281846494,2.5734887882495947,-0.6509894202618346,0.2667334239562126,0.24933798483960531,-0.06360603524492303,0.5787875900514106,-1.854613472584421,-0.6600889032793877,-1.2949952451840385,0.9020348212426699,1.4157946238964492
corridor_y_p3p0pct,corridor,0.0,0.03,0.0,0.6313060260632275,0.379719799462079,2.896154714121458,2.733598655322107,-0.6725504356922613,0.2597558049768444,0.24110972897795127,-0.15764440512561206,-0.17606375214158643,0.6313060260632275,0.2800724066160498,0.3446714892475722,-0.28228691121728877,-0.5272451917304521
