name,design_phase,x,y,z,epsilon_med,exact_slope_ratio,six_param_max_error_pct,six_param_rms_error_pct,four_param_max_error_pct,four_param_rms_error_pct,a0_wall,a1_wall,hQ6,hu06,a06,a16,hd06,hd16,hQ4,hu04,hd04,hd14
baseline_zero_bias,baseline,0.0,0.0,0.0,0.04675138517802302,0.0479550963713269,0.35607951973466445,0.1856727492874563,0.9099878095466529,0.418095572555134,0.2635365830624751,0.24395430601636955,2.7951974081829407,3.047752914630514,0.2650778792570692,0.24258550180025262,2.765140427220605,-0.6801271031779813,2.7840054080945245,3.022393187519013,2.7483273949516076,-0.6800049087476602
corridor_x_m3p0pct,corridor,-0.03,0.0,0.0,0.04650602315765187,0.048365810227463536,0.5611269349634185,0.291303536122352,1.7279725871503282,0.9468503500156659,0.2635365830624751,0.24203975342888007,2.801724556541822,3.0846878942696048,0.27011909272263485,0.24396451208312028,2.7857351755136914,-0.6877855128040569,2.847251126577168,3.0490275126290243,2.7705082097959846,-0.682142006891743
corridor_x_m5p0pct,corridor,-0.05,0.0,0.0,0.0463408257395213,0.04864716047363067,0.705455571805047,0.3649253974678772,2.878623881286857,1.7483832314812686,0.26353658306247524,0.24083056232099262,2.8064689019176674,3.110260406351323,0.2736647708012148,0.24495539725373916,2.7998101012632173,-0.6931498910204865,2.887979051465394,3.0651920549563028,2.7839240101584886,-0.6833899883411302
corridor_x_m8p0pct,corridor,-0.08,0.0,0.0,0.046092956508692585,0.04907402676065175,0.9314173835502926,0.47954383192465044,4.620472000609976,3.015958929514876,0.2635365830624751,0.239117541584818,2.8139308590220122,3.150124426925534,0.27930576788589134,0.24657187563218713,2.8214206880800474,-0.7016231823248535,2.9455404368739995,3.0861189371414732,2.8012213206067726,-0.6848361852387457
corridor_x_p3p0pct,corridor,0.03,0.0,0.0,0.046994647025980656,0.04755521716286352,0.16263271128555967,0.08517736066182917,2.5324392691539632,1.3660124172399453,0.2635365830624752,0.24566732675254419,2.7892290591446254,3.012541191124097,0.26035551388347233,0.2413295096047595,2.745240531773255,-0.6729293725621306,2.7237874825654624,2.9968429439358037,2.726878011427755,-0.6775398092422716
corridor_x_p5p0pct,corridor,0.05,0.0,0.0,0.0471550762724709,0.047295736924113416,0.040248943970577766,0.02115576570872853,3.598173774560509,2.049920964159093,0.2635365830624751,0.24697728378608877,2.785465782290764,2.989874271127058,0.25737147517146974,0.24055298745853107,2.732255608693038,-0.6683432413342403,2.682611315991817,2.977969471849377,2.711114698453574,-0.6759323982222001
corridor_x_p8p0pct,corridor,0.08,0.0,0.0,0.04739300147801189,0.046916736460576945,0.13350752339995609,0.07051655735582466,4.965820949242339,2.9769000112569173,0.2635365830624752,0.24879107044792084,2.7801136017450467,2.956975288897367,0.25312259598682196,0.23947404748306975,2.713163652421969,-0.6617614249712087,2.6250009662727956,2.9509490937022447,2.6885044801576075,-0.6734090023683732
corridor_y_m3p0pct,corridor,0.0,-0.03,0.0,0.04723477362177314,0.0493889051136943,0.4648135786895602,0.24724426317844503,4.964428938333887,2.3790384674855054,0.25574789995961444,0.2550385578386744,2.708959284809403,2.8942679246291285,0.2596778458472774,0.24513562462192884,2.650478463622244,-0.6619150891900039,2.641601295847204,2.75795082133904,2.552606504743825,-0.663135599633053
corridor_y_m5p0pct,corridor,0.0,-0.05,0.0,0.0475508310739786,0.051113804749788695,0.5940405059357556,0.3196815062229186,6.470592106498296,3.1285204528889063,0.2506837522414029,0.262797534114288,2.656678753727953,2.7975823199291883,0.2572750277080753,0.24790971584681484,2.577489421322729,-0.6527253922910891,2.5943916004906,2.5884721886062456,2.4296749331241125,-0.6537853885907251
corridor_y_m8p0pct,corridor,0.0,-0.08,0.0,0.04801854083095345,0.0569989791825053,0.8509222439239683,0.464739582264406,7.231135966290725,3.551750632607435,0.24327492769585035,0.27488944519316605,2.5848298549128392,2.6565737266045817,0.2550195337472153,0.2537919765942288,2.47086070894917,-0.6427916872392067,2.57256040683878,2.3631030690769923,2.2710245769449604,-0.6455029283444067
corridor_y_p3p0pct,corridor,0.0,0.03,0.0,0.046258403703537836,0.04723072048867888,0.377033442424779,0.1923308261304878,5.768290291307554,2.9613793487498024,0.2715624668793451,0.23327311789669386,2.891732422540005,3.2154688381698415,0.27328603788924366,0.24199659899456955,2.8873939076651984,-0.7043337254922337,3.0257561576170082,3.250915097757606,2.918135751315283,-0.6915955370325921
