g_PS,Lambda_over_M,weighted_adjoint_C2,estimated_abs_threshold_splitting_pct_cg1,within_broad_1pct_flavor_tolerance_if_favorable_sign
0.45,2,3.4285714285714284,0.30475017399574894,True
0.45,3,3.4285714285714284,0.4830175978715098,True
0.45,10,3.4285714285714284,1.0123581649182907,True
0.45,30,3.4285714285714284,1.4953757627898003,True
0.45,100,3.4285714285714284,2.0247163298365813,True
0.55,2,3.4285714285714284,0.4552440870800694,True
0.55,3,3.4285714285714284,0.7215448066969467,True
0.55,10,3.4285714285714284,1.5122881229026317,True
0.55,30,3.4285714285714284,2.2338329295995782,True
0.55,100,3.4285714285714284,3.0245762458052634,False
0.65,2,3.4285714285714284,0.635836782781254,True
0.65,3,3.4285714285714284,1.0077774572874711,True
0.65,10,3.4285714285714284,2.112204072483841,True
0.65,30,3.4285714285714284,3.119981529771312,False
0.65,100,3.4285714285714284,4.224408144967682,False
0.75,2,3.4285714285714284,0.8465282610993025,True
0.75,3,3.4285714285714284,1.3417155496430824,True
0.75,10,3.4285714285714284,2.812106013661918,False
0.75,30,3.4285714285714284,4.153821563305,False
0.75,100,3.4285714285714284,5.624212027323836,False
