r,Phi,Phi_prime,phi,phi_prime,V,V_minus_Vfalse,action_density_4d,w_FWHM,R_peak
1e-05,2.0411065257988277,0.0,-2.736228633233792e-07,0.0,0.04830294428357434,-0.7234594524178003,-1.428051719118484e-14,1.7517899927739728,5.860202508437851
1.0077112648825867e-05,2.0411065257988272,-2.1628200570492692e-08,-2.736228633233948e-07,-4.0200434826235495e-13,0.04830294428357446,-0.7234594524178001,-1.4613433804679426e-14,1.7517899927739728,5.860202508437851
1.0154819933712629e-05,2.0411065257988246,-4.29304278377044e-08,-2.7362286332344143e-07,-7.979498159022403e-13,0.048302944283575205,-0.7234594524177994,-1.495411158466796e-14,1.7517899927739728,5.860202508437851
1.0233126440056459e-05,2.0411065257988206,-6.391543941590073e-08,-2.736228633235192e-07,-1.1879991810945964e-12,0.048302944283576316,-0.7234594524177983,-1.530273146446198e-14,1.7517899927739728,5.860202508437851
1.0312036788612735e-05,2.0411065257988144,-8.459174450523074e-08,-2.736228633236282e-07,-1.5723106047298762e-12,0.048302944283578106,-0.7234594524177965,-1.5659478595406904e-14,1.7517899927739728,5.860202508437851
1.0391555635768728e-05,2.041106525798807,-1.0496766182489053e-07,-2.7362286332376833e-07,-1.95103870722039e-12,0.0483029442835802,-0.7234594524177944,-1.6024542445215668e-14,1.7517899927739728,5.860202508437851
1.0471687673818278e-05,2.041106525798798,-1.2505139614114346e-07,-2.7362286332393964e-07,-2.324335990930103e-12,0.048302944283582734,-0.7234594524177919,-1.6398116898594234e-14,1.7517899927739728,5.860202508437851
1.0552437631238809e-05,2.041106525798787,-1.4485088101939692e-07,-2.736228633241423e-07,-2.6923499174003273e-12,0.048302944283585884,-0.7234594524177888,-1.678040036021399e-14,1.7517899927739728,5.860202508437851
1.0633810272970267e-05,2.041106525798774,-1.6437396183107024e-07,-2.7362286332437624e-07,-3.055226308906707e-12,0.04830294428358953,-0.7234594524177851,-1.717159586008371e-14,1.7517899927739728,5.860202508437851
1.0715810400696314e-05,2.0411065257987597,-1.8362827184277723e-07,-2.7362286332464146e-07,-3.4131070453232118e-12,0.0483029442835936,-0.723459452417781,-1.7571911161378488e-14,1.7517899927739728,5.860202508437851
1.079844285312766e-05,2.0411065257987437,-2.0262127449142547e-07,-2.7362286332493814e-07,-3.766130849891337e-12,0.048302944283598104,-0.7234594524177764,-1.7981558870782337e-14,1.7517899927739728,5.860202508437851
