r,Phi,phi,Phi_prime,phi_prime,gradient_density,H_PhiPhi,H_phiphi,H_cross,H_eigen_soft,H_eigen_hard,mixing_sin2_2theta
1e-05,2.041106516886844,-2.736228279169334e-07,0.0,0.0,0.0,0.69422249908577,19.27261003462468,-5.167222801547998e-06,0.6942224990843346,19.27261003462612,3.0942708902602657e-13
1.0077112648825869e-05,2.0411065168868427,-2.736228279169491e-07,-2.1628199781919282e-08,-4.020042927330069e-13,4.677790259682207e-16,0.6942224990857683,19.272610034624655,-5.167222801548291e-06,0.6942224990843311,19.27261003462609,3.0942708902606226e-13
1.0154819933712627e-05,2.04110651688684,-2.736228279169957e-07,-4.2930426272442726e-08,-7.979497056804647e-13,1.843021500570364e-15,0.6942224990857648,19.272610034624602,-5.167222801549164e-06,0.6942224990843275,19.27261003462604,3.094270890261685e-13
1.023312644005646e-05,2.041106516886836,-2.736228279170735e-07,-6.391543708551656e-08,-1.187999016994829e-12,4.085183099243968e-15,0.6942224990857601,19.272610034624527,-5.167222801550623e-06,0.694222499084324,19.272610034625963,3.0942708902634564e-13
1.0312036788612737e-05,2.04110651688683,-2.7362282791718244e-07,-8.45917414209797e-08,-1.5723103875447057e-12,7.155762719106052e-15,0.6942224990857523,19.27261003462441,-5.167222801552665e-06,0.6942224990843169,19.27261003462585,3.094270890265938e-13
1.0391555635768728e-05,2.0411065168868223,-2.7362282791732257e-07,-1.0496765799772486e-07,-1.9510384377210475e-12,1.1018209229333883e-14,0.6942224990857434,19.272610034624268,-5.167222801555292e-06,0.6942224990843062,19.272610034625707,3.0942708902691287e-13
1.0471687673818278e-05,2.041106516886813,-2.736228279174939e-07,-1.250513915817163e-07,-2.3243356698667543e-12,1.5637850541926284e-14,0.6942224990857319,19.272610034624094,-5.167222801558503e-06,0.6942224990842956,19.27261003462553,3.0942708902730293e-13
1.0552437631238807e-05,2.0411065168868023,-2.7362282791769653e-07,-1.4485087573807209e-07,-2.6923495455027685e-12,2.0981776209335145e-14,0.6942224990857189,19.27261003462389,-5.167222801562303e-06,0.6942224990842814,19.27261003462533,3.0942708902776423e-13
1.0633810272970267e-05,2.041106516886789,-2.736228279179305e-07,-1.643739558379256e-07,-3.055225886884592e-12,2.7018797367142722e-14,0.6942224990857025,19.27261003462364,-5.167222801566687e-06,0.6942224990842671,19.272610034625075,3.0942708902829727e-13
1.0715810400696314e-05,2.0411065168867752,-2.736228279181957e-07,-1.8362826514761226e-07,-3.4131065738665968e-12,3.371933977277109e-14,0.6942224990856855,19.272610034623376,-5.167222801571661e-06,0.6942224990842494,19.27261003462481,3.094270890289011e-13
1.079844285312766e-05,2.0411065168867597,-2.736228279184924e-07,-2.026212671037676e-07,-3.766130329671115e-12,4.105537789692008e-14,0.6942224990856666,19.272610034623085,-5.1672228015772244e-06,0.6942224990842281,19.27261003462452,3.094270890295764e-13
1.0881712506287604e-05,2.041106516886741,-2.7362282791882055e-07,-2.2136032271865946e-07,-4.114433973754291e-12,4.900039249103763e-14,0.6942224990856435,19.272610034622733,-5.167222801583374e-06,0.6942224990842067,19.272610034624172,3.094270890303239e-13
1.0965624273799744e-05,2.0411065168867224,-2.736228279191802e-07,-2.3985254789230257e-07,-4.458149769660126e-12,5.752924475030441e-14,0.6942224990856208,19.272610034622378,-5.16722280159012e-06,0.6942224990841854,19.272610034623817,3.094270890311429e-13
1.1050183107177937e-05,2.041106516886701,-2.736228279195716e-07,-2.581049910209856e-07,-4.797408726237921e-12,6.661818641295819e-14,0.6942224990855945,19.272610034621977,-5.167222801597457e-06,0.694222499084157,19.272610034623412,3.094270890320341e-13
1.1135393996118494e-05,2.041106516886679,-2.736228279199948e-07,-2.761245023037304e-07,-5.132338168435737e-12,7.62447407988237e-14,0.6942224990855675,19.272610034621557,-5.167222801605392e-06,0.6942224990841321,19.272610034622993,3.0942708903299757e-13
1.1221261968794528e-05,2.0411065168866545,-2.736228279204497e-07,-2.93917780867948e-07,-5.463062613227013e-12,8.638766194018416e-14,0.6942224990855377,19.2726100346211,-5.167222801613921e-06,0.6942224990841002,19.272610034622538,3.094270890340333e-13
1.13077920921528e-05,2.041106516886628,-2.736228279209366e-07,-3.114914408000136e-07,-5.7897049969237495e-12,9.702691772518905e-14,0.6942224990855049,19.272610034620598,-5.167222801623048e-06,0.6942224990840682,19.272610034622033,3.0942708903514196e-13
1.139498947221261e-05,2.0411065168866,-2.736228279214555e-07,-3.288518722050713e-07,-6.112384092689029e-12,1.0814355389014176e-13,0.6942224990854707,19.272610034620065,-5.167222801632777e-06,0.6942224990840327,19.2726100346215,3.0942708903632376e-13
1.1482859254367127e-05,2.04110651688657,-2.736228279220067e-07,-3.460054135694278e-07,-6.431217714244358e-12,1.1971974626071134e-13,0.6942224990854343,19.272610034619504,-5.167222801643111e-06,0.6942224990839971,19.27261003462094,3.0942708903757887e-13
1.1571406623687016e-05,2.041106516886539,-2.7362282792259016e-07,-3.629582132761687e-07,-6.746320141854378e-12,1.3173866463014158e-13,0.6942224990853961,19.272610034618914,-5.16722280165405e-06,0.6942224990839581,19.27261003462035,3.094270890389074e-13
