core,max_error_pct,rms_error_pct,q_min,q_max,kappa_min,kappa_max,condition_Yu,condition_Yd,active_bound,correlation_with_canonical_E,asymmetry_L2
canonical_even_gradient,6.395550755655677e-10,2.429545638189967e-10,0.8436628497909819,2.2348297636269217,-1.9245065325832669,1.9245065325832669,136796.7479666048,1063.2958801502848,False,1.0,6.361849828196489e-17
raw_local_gradient,5.200839758856546e-10,2.8930124790948284e-10,1.0,1.627090630371347,-2.9748097239308926,3.7273683805624427,136796.74796819116,1063.2958801487769,False,0.8601131176059651,0.8684173565977339
raw_gradient_speed,1.667110893777135e-10,7.315903787188246e-11,0.7101924282694674,3.4114405366544913,-1.7063309607379389,1.7063309607379389,136796.74796750673,1063.2958801494103,False,0.8951544677941901,0.5770266704367999
portal_cross,3.904987444514063e-10,1.8288456648439974e-10,0.9040537298115475,1.643180076164198,-4.26145018229032,4.26145018229032,136796.74796801386,1063.295880150101,False,0.908780018855282,0.42169825037749303
hessian_mixing,1.5293846562826285,0.8998257892244856,1.0,3.2967510715301933,-3.0944982063142934,5.332907287548642,137837.06781106367,1065.5896667634538,False,0.7913210301172308,0.07882867096174026
