observable,target,zero_fit_value,zero_fit_error_pct,four_parameter_value,four_parameter_error_pct
ct,0.0036847735647212647,0.003664925738659951,-0.5386443892059001,0.003662822933431768,-0.5957118098017244
ut,7.310115297753477e-06,7.315904601465339e-06,0.07919579207789074,7.310059425106287e-06,-0.0007643196435980215
sb,0.018724903134906656,0.018792717301634274,0.3621603072605506,0.018752323648484757,0.14643874726905093
db,0.0009404719971821064,0.0009380953470902341,-0.2527082251245538,0.0009390840026285268,-0.14758488904915712
Vus,0.2243,0.2249091788600978,0.2715911101639934,0.22527559781899748,0.43495221533547124
Vcb,0.0422,0.042153708818474286,-0.10969474295192683,0.04219792938823385,-0.004906662952963714
Vub,0.00394,0.0039649361288844834,0.6328966721950158,0.003960569603170777,0.5220711464664296
