h_Q,h_u0,h_u1,a_d0,a_d1,h_d0,h_d1
-1.561420260504412516e-01,-4.690397060215451691e-02,-3.222763217576307682e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.891584135710653314e-01,-1.673574930737186939e-01,-6.449501434389048882e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.661843270233703096e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.204040092717129085e+00,-1.556869840941832273e+01,-1.455402651842664818e+00,-7.244383694260391415e+00
1.455431547824839189e-01,0.000000000000000000e+00,0.000000000000000000e+00,-6.521031744810557029e-01,2.195677005478735211e+01,9.934232065689321267e-01,5.660519493932979707e+00
2.945295400946494335e-01,-9.628687921143731510e-01,-1.953233849105728837e-02,2.174644432195727006e+00,1.311551787631648303e+01,1.994524205600356925e+00,5.166427981828647376e+00
-1.723523689212144439e-01,-3.471799562328366395e+00,-2.479264861410257204e-01,9.965242315246314320e+00,4.425272828512127887e+00,4.753125487011505612e+00,2.973640369630103475e+00
2.245300973833995462e-01,2.368699910942945852e+00,-1.214540507721295487e-01,-3.018535545740163695e+00,-1.382645070213683658e+00,-3.701752316831898870e+00,-2.702862559589291891e+00
