name,design_phase,x,y,z,max_error_pct,rms_error_pct,h_u1_fixed,a_d0_fixed,a_d1_fixed,h_d1_fixed,h_Q_fit,h_u0_fit,h_d0_fit,err_ct,err_ut,err_sb,err_db,err_Vus,err_Vcb,err_Vub
baseline_zero_bias,baseline,0.0,0.0,0.0,1.431088580972073e-09,8.46170572244688e-10,-0.030975548640329295,0.2534120313266561,0.2337107123471517,-0.6847396429583091,2.982497152834953,3.200379483176133,2.9002498521189723,8.489653424703647e-10,-9.633960296184796e-10,-8.398393092079459e-10,9.134915046615788e-11,-1.431088580972073e-09,-3.2401858973685194e-10,-7.046141448086018e-10
axis_x_m1p0pct,phase1_axis,-0.01,0.0,0.0,0.7350411998529149,0.45418813803312275,-0.030937578754611242,0.25341203132665596,0.23313150364245017,-0.6872941340029595,3.0136911517846277,3.2214362711381415,2.9183325519395438,-0.7350411998529149,-0.3524940549003319,-0.12582828714357008,-0.6678199259728013,0.20555219407845104,-0.3168416182272593,-0.4183466289878979
axis_x_p1p0pct,phase1_axis,0.01,0.0,0.0,0.7232414016294486,0.42987878762113846,-0.03101361184193532,0.25341203132665596,0.23428992105185328,-0.6821985075836665,2.951703531005007,3.1795361826290724,2.8823405671808895,0.7232414016294486,0.3036473572707976,0.11627498683437487,0.6163957657489005,-0.24249768108369762,0.2950017494265822,0.3728213937338465
axis_y_m1p0pct,phase1_axis,0.0,-0.01,0.0,1.7659775358416008,1.0360688280349566,-0.030752752575416393,0.2559588645826274,0.2371859645753622,-0.6796707760187161,2.8870598116718003,3.127682983853989,2.835304724334854,0.5239704551789126,-0.724165202472582,0.7025481618350593,1.7659775358416008,-0.48766351914730777,1.0538528567979544,1.3245519650524118
axis_y_p1p0pct,phase1_axis,0.0,0.01,0.0,2.1727923218441747,1.2001269267078423,-0.03119982887242508,0.2508905394849948,0.23023546011894128,-0.6898619306894306,3.0885135803873554,3.2747731593703233,2.9670936601045583,-0.7382124485625252,0.4747481604647996,-0.7759115930896621,-2.1727923218441747,0.3588476522134787,-1.191433360816252,-1.5621903473860388
axis_z_m1p0pct,phase1_axis,0.0,0.0,-0.01,0.5324973991126303,0.26841484889511774,-0.030948417791374826,0.2534120313266561,0.23438645583597034,-0.6851072497084598,2.9728820556894306,3.192134107026078,2.8937647200984276,0.1465467516716723,-0.1526962908665941,0.26230325075264904,0.5324973991126303,-0.08912154294168362,0.19720163427177084,0.24565422994302644
axis_z_p1p0pct,phase1_axis,0.0,0.0,0.01,0.5573894058002793,0.2775066125914331,-0.031002727099395538,0.2534120313266561,0.23303496885833283,-0.6843737424821256,2.991876915050981,3.208609046287271,2.9067565271248856,-0.15640237349003883,0.1408256852820644,-0.27338616065334387,-0.5573894058002793,0.08562012122168561,-0.19942398965706598,-0.24950388536333357
validation_08,phase2_validation,0.0042447431931197,-0.0008398559478993,0.010928888105964,0.24902306808305408,0.15204383585502862,-0.031002727099395538,0.2536249503265639,0.2335176427789176,-0.6828328619417882,2.970989068714577,3.1941956738109365,2.89408714313382,0.2000802166712612,0.24902306808305408,-0.1807131294584985,-0.158262687999422,-0.03917143239288157,0.010263645522456954,0.020800420747013604
validation_07,phase2_validation,-0.0096297463073575,-0.0069259474504271,-0.0097270843377641,1.2134239349774756,0.7429304602298845,-0.03076027305701559,0.25517324172401185,0.23622061673419267,-0.6840226135263056,2.934477625205946,3.161907283629061,2.8659507782591,-0.1398783547089999,-0.8978370810522329,0.6412205601538767,1.2134239349774756,-0.18435306466456636,0.6586680400652023,0.8285838586035821
validation_06,phase2_validation,0.0074415802694216,-0.0109447115094505,0.0086197077368819,1.8748295397701398,1.1369382418184464,-0.03078284553826199,0.2562007861229836,0.23737903414359576,-0.677009105341061,2.8650867874057866,3.112261066953539,2.8214211471142168,0.9476272732938051,-0.4758191613691398,0.6185985552090267,1.8748295397701398,-0.6500057306772944,1.184405664552557,1.483584993422804
