name,design_phase,x,y,z,max_error_pct,rms_error_pct,h_Q_fixed,h_u0_fixed,a_d1_fixed,h_d0_fixed,h_u1_fit,a_d0_fit,h_d1_fit,err_ct,err_ut,err_sb,err_db,err_Vus,err_Vcb,err_Vub
baseline_zero_bias,baseline,0.0,0.0,0.0,0.4826396142493472,0.20409479157219532,2.9749648536668745,3.189777851668907,0.2337752530989594,2.8952984410493428,-0.03096081590740493,0.2516289373879223,-0.6841214345712138,0.11901182863021109,-0.058034022150310616,0.020490827901142872,0.009409674751714725,-0.16871627829144753,-0.11016546072681876,-0.4826396142493472
axis_x_m1p0pct,phase1_axis,-0.01,0.0,0.0,0.6975231624111844,0.3319001330897184,2.9754829107977083,3.19094119585794,0.23340599952994556,2.8954288690741885,-0.0310028659391381,0.2518156278810028,-0.6829858892805016,0.21276796448626012,-0.10420021463242168,-0.22243292460820685,-0.29989251054934885,-0.2604097537489469,-0.14564433113822828,-0.6975231624111844
axis_x_p1p0pct,phase1_axis,0.01,0.0,0.0,0.3125126870590744,0.18898289631193327,2.9744390951900854,3.188615316467222,0.23414032356333422,2.8951588328817093,-0.030919634817152736,0.25144778748845514,-0.6852393424331205,0.025442950009479937,-0.011888247959412901,0.2587836917395281,0.3125126870590744,-0.07641287309926303,-0.07569086425543992,-0.27020706644008685
axis_y_m1p0pct,phase1_axis,0.0,-0.01,0.0,1.0731548241472266,0.7082531695199462,2.9739056059060176,3.1894441222208867,0.23681438078875416,2.8942137979035656,-0.03081809379132371,0.2537448641631008,-0.6926946073959221,-0.9073366691395246,0.4557222812822559,0.9949852157191907,1.0731548241472266,0.43535153093723356,-0.02661068437156411,0.38538201309958886
axis_y_p1p0pct,phase1_axis,0.0,0.01,0.0,1.3730811484426453,0.9632802207708099,2.9759932980335413,3.190110559772843,0.23071097894762743,2.896348068829435,-0.03111239544590737,0.24962735417265625,-0.6754971965213579,1.1152778139226882,-0.5491517287099179,-1.0340197280217844,-1.2045054052125526,-0.7113301312164477,-0.19640977016196492,-1.3730811484426453
axis_z_m1p0pct,phase1_axis,0.0,0.0,-0.01,0.47396403255168806,0.24147110795323673,2.9748847794638076,3.189628107421047,0.23441853165229565,2.89526625341496,-0.030949613574169393,0.2518325941004141,-0.6858321163890899,0.1311438687256139,-0.0649471679767255,0.31193159020816985,0.47396403255168806,-0.16512022950586625,-0.02846770227608042,-0.19163220374776024
axis_z_p1p0pct,phase1_axis,0.0,0.0,0.01,0.7619452113273417,0.3697465498463853,2.975044353946237,3.1899271307813777,0.23313155359753598,2.895330154725621,-0.030973074567429135,0.2514467775725242,-0.6824142656122723,0.09775259858182395,-0.0465939782957947,-0.2811356167606083,-0.4721464041038792,-0.16277230235800522,-0.1903843983130593,-0.7619452113273417
validation_08,phase2_validation,0.0042447431931197,-0.0008398559478993,0.010928888105964,0.62018963422793,0.27106385875170347,2.974741946802096,3.1894216087585376,0.23349157326884307,2.8951845953189954,-0.030943197620673796,0.25152307921692535,-0.6834793323288598,-0.028055035093721425,0.015886522214225707,-0.11529311129643283,-0.2809475897999181,-0.07641850261631555,-0.1749023224393631,-0.62018963422793
validation_07,phase2_validation,-0.0096297463073575,-0.0069259474504271,-0.0097270843377641,0.9312824376775497,0.5079038584887045,2.974665436915637,3.1905236935961194,0.23616280319276037,2.8946557750145345,-0.03088932023611791,0.25345145297532307,-0.6906578737031558,-0.48339228388921684,0.24201925420708204,0.7638407429256144,0.9312824376775497,0.15329879282794945,-0.003729637320248891,0.19816356220700992
validation_06,phase2_validation,0.0074415802694216,-0.0109447115094505,0.0086197077368819,1.0931902768525625,0.7522519956017479,2.973472437624855,3.188673282190793,0.23682826136360674,2.894023990392266,-0.030784783382575533,0.2536610040654275,-0.6929001688415815,-1.0931902768525625,0.5501062271966894,1.0066169314296047,0.986460085246077,0.5696820210720377,-0.06429671336168896,0.38528793479142287
validation_02,phase2_validation,-0.0122683900042898,0.010103876561482,0.0044575806308353,1.7872769609523664,1.250581053585586,2.976653170779017,3.1916008406268643,0.2300068375402066,2.896510810145124,-0.03117369129791739,0.249817831889529,-0.6734233403408347,1.2270151328334977,-0.6030390007137454,-1.461004033404012,-1.7872769609523664,-0.8122683836058298,-0.2671662109430817,-1.7373540791897235
validation_04,phase2_validation,0.010999625234478,0.0019447359453563,-0.0136949715867342,0.7675876186000075,0.36568423073953427,2.9744808226996433,3.188362485690474,0.2344467720791959,2.8953079518284,-0.030927155201696456,0.2512748525270157,-0.6859692416683728,0.23926395019477908,-0.11928719414669997,0.4888447748575775,0.7675876186000075,-0.18559228740575584,0.018769121721828874,-0.04051272050179522
