N,max_error_pct,rms_error_pct,h_d0,h_d1,a_d0,a_d1,value_ct,value_ut,value_sb,value_db,value_Vus,value_Vcb,value_Vub,error_ct_pct,error_ut_pct,error_sb_pct,error_db_pct,error_Vus_pct,error_Vcb_pct,error_Vub_pct
2,53.21267625571584,29.82233281663869,0.48309884607708076,-0.18917223413868958,1.721130435403318,0.5879035422310614,0.005645540192472591,5.886618861094965e-06,0.015254699226481231,0.0009484576352011502,0.12097544764530346,0.041839678370425154,0.00486224130076851,53.21267625571584,-19.472968327817973,-18.53256000003721,0.849109600601694,-46.065337652561986,-0.8538427241110091,23.407139613413964
3,52.96056887749205,28.18369119249149,0.6189596834093666,-0.25111895459341205,1.3390862129086982,0.5442769791427304,0.005636250606445089,6.0758685192786946e-06,0.01545963765015552,0.0009504762115931424,0.1254479121929557,0.04397528130802473,0.004504324173680091,52.96056887749205,-16.884094548468852,-17.438090126426786,1.0637439967389861,-44.071372183256486,4.206827744134434,14.32294857056069
4,51.69313135530995,26.948855727353738,0.7421608639964359,-0.29848287001661994,1.093218910192288,0.5039799914448756,0.005589548403678365,6.205858436798687e-06,0.015542082574614962,0.000950644345998481,0.1304199017934939,0.04465870928883959,0.004348434475944754,51.69313135530995,-15.105874749939275,-16.997794527216183,1.0816216587897998,-41.85470272247264,5.826325329003756,10.366357257481074
5,49.966170546941015,25.69622118413121,0.8615303700423032,-0.33525720850624535,0.9153398219276822,0.4641791751858696,0.005525913808338489,6.324143285330752e-06,0.01553693412983952,0.0009482358181320773,0.13623513536130885,0.044939495585438326,0.00426807800151988,49.966170546941015,-13.487776488638016,-17.0252897016283,0.8255238830324974,-39.2620885593808,6.491695700090805,8.326852830453824
6,47.8861513020469,24.350820708835467,0.9812290136992045,-0.36413116764982284,0.7791980053553742,0.4259598918958176,0.005449269809061516,6.441548505858962e-06,0.015488749178866402,0.000943759143680761,0.14280356842844527,0.045044776587090114,0.004224358406373741,47.8861513020469,-11.88171125237163,-17.282620544014826,0.34952093294682296,-36.33367435200835,6.741176746659039,7.217218435881767
7,45.45558406449008,22.89427504848072,1.1032377111802771,-0.3871612895490066,0.6721144045337969,0.39054244750613987,0.005359708910019247,6.5584437713708524e-06,0.015434313702122645,0.0009378383594323553,0.1499669484199159,0.04504285982011035,0.00420297594361419,45.45558406449008,-10.282622034889465,-17.57333220405156,-0.28003361691174566,-33.1400140793955,6.736634644811268,6.674516335385516
8,42.668276800512686,21.32995086417292,1.2280866045624268,-0.40610407785943414,0.5869095231295397,0.3588576886970478,0.005257002948788652,6.6718104895961524e-06,0.015402242309809806,0.000931127093639448,0.15750870082559298,0.044963627405408074,0.0041968138885634,42.668276800512686,-8.731802196792792,-17.74460888346493,-0.9936397437306121,-29.77766347499198,6.548880107602062,6.518118999071065
9,39.54581545681699,19.67579716286249,1.355275095933892,-0.4225115167040279,0.518894980626853,0.3314429072691276,0.005141947318627513,6.778512881503235e-06,0.01541285546698205,0.0009242960074598109,0.16517783049615184,0.04483162914609373,0.00420052163676088,39.54581545681699,-7.272148175468751,-17.687929513239197,-1.7199863229062529,-26.358524076615318,6.2360880239187955,6.612224283271062
10,36.14415204005401,17.957149622433555,1.4839681723461442,-0.4376610553217578,0.4645034378199646,0.30833007653428407,0.005016603724285837,6.87793855627698e-06,0.015474550964914728,0.0009177864635177944,0.1727640719028668,0.044669896249986685,0.0042088476142472415,36.14415204005401,-5.912037278116699,-17.358445843880897,-2.412143448426285,-22.976338875226578,5.852834715608246,6.823543508813246
11,32.52966906962585,16.199761000073128,1.6126952340490355,-0.45259817363922533,0.4210480268040695,0.2893953032092438,0.004883418211290147,6.968257230530782e-06,0.015591891350699855,0.0009121404714980833,0.18005928674185723,0.044494743701317674,0.004216774908815851,32.52966906962585,-4.676507186251266,-16.731791676755293,-3.01247945381804,-19.723902477994994,5.437781282743304,7.024743878574902
12,28.784016048090912,14.425939296160523,1.7405226792408612,-0.4680333651905494,0.3862144708391834,0.274163556722609,0.004745399378926445,7.05114522670896e-06,0.015759830340712554,0.0009075138483064466,0.18697116842747225,0.044317567979906165,0.004220019074329585,28.784016048090912,-3.5426263539797054,-15.83491659653321,-3.5044263916853335,-16.64236806621835,5.017933601673374,7.107083104811807
13,24.985935339922417,12.65434257446418,1.8661161526938796,-0.48449209229312445,0.35826298279706903,0.2622436133015534,0.004605448705025074,7.126064265342168e-06,0.015975163522059733,0.0009042262207147565,0.19340374041216796,0.04413985270100564,0.004215580035291022,24.985935339922417,-2.5177582693924228,-14.684933711197168,-3.8539984790564197,-13.774525005720928,4.596807348354592,6.994417139366038
14,21.211057934114397,10.90025811306712,1.98803615542493,-0.5022874339516105,0.33581371849663183,0.25325100476799417,0.004466353020275224,7.191145513606843e-06,0.016233871973206714,0.0009025840391491445,0.1992823234102027,0.043957063931209836,0.004201954435859485,21.211057934114397,-1.6274679577652496,-13.303305997114634,-4.0286109683737354,-11.153667672669332,4.163658604762643,6.648589742626521
15,17.52893434833083,9.17617834431838,2.1050774025786225,-0.521541142231356,0.31773849492944845,0.2467876335358051,0.004330675103765905,7.244648760597223e-06,0.016530487993563638,0.0009027848216721362,0.2045696360109199,0.04376197358414178,0.004179254284211389,17.52893434833083,-0.8955609383667684,-11.719233608489144,-4.007261845423427,-8.796417293392821,3.7013592041274412,6.072443761710389
16,13.997344257548882,7.492281195293279,2.21622001097973,-0.5422301358434168,0.30313747508534084,0.24248543383778456,0.004200544005686456,7.284680231656819e-06,0.016859375036212765,0.0009049563974919103,0.20924974141187602,0.043548101614688896,0.004149031552957959,13.997344257548882,-0.3479434326360664,-9.96281842022566,-3.7763590831635496,-6.709878996042784,3.1945535893101784,5.305369364415213
17,10.655591161649959,5.856042831863207,2.3210546895438506,-0.5642314213462563,0.29127192579431216,0.23997263722851456,0.0040774079710105176,7.3109132234705615e-06,0.017213534795057876,0.0009090221458736049,0.21335204821972753,0.043312399382759124,0.004113574845800275,10.655591161649959,0.01091536432167306,-8.071434757017848,-3.3440497327653973,-4.880941498115233,2.6360174946898685,4.405452939093291
18,7.524720255528794,4.272984691141176,2.4196553964373337,-0.5873900274167299,0.2815597579222332,0.23891482678447945,0.003962042467516216,7.32425034692409e-06,0.017586011760482422,0.000914779883287037,0.21693244872662987,0.04305567032234051,0.004075303453160592,7.524720255528794,0.1933628758900241,-6.082228389748689,-2.7318318856967005,-3.28468625651811,2.02765479227609,3.4340977959541164
19,4.610146995153408,2.748086106420556,2.5125272398904888,-0.6115672982620382,0.2735488618153504,0.23902348025499043,0.0038546470424934694,7.326742074018709e-06,0.017970259143671872,0.000921930359978099,0.22006397769055455,0.04278139461646463,0.004036226499447408,4.610146995153408,0.22744889222665599,-4.030162323392695,-1.9715246450253576,-1.8885520773274433,1.377712361290584,2.4422969402895456
20,1.9456306525572398,1.2937839920688092,2.600439181531084,-0.6366704390266034,0.2668950910476766,0.24006577882544963,0.0037550364899787267,7.321070618553146e-06,0.01836058567985226,0.0009301394021188873,0.22282242548131528,0.04249406599325939,0.003997725404711969,1.9068451296484712,0.14986522583353423,-1.9456306525572398,-1.0986605761977186,-0.658749228125155,0.696838846586223,1.465111794720042
21,0.5957124147949688,0.3504822139011199,2.684270573214709,-0.6626623294011261,0.2613395807102711,0.241864927584543,0.003662822911139137,7.310059133870823e-06,0.018752323534428218,0.0009390839996493679,0.2252755949870811,0.042197928979338474,0.00396056961769723,-0.5957124147949688,-0.0007683036500227836,0.14643813815220508,-0.1475852058218985,0.43495095277803486,-0.004907631899353504,0.522071515158129
22,2.9098878052842947,1.5516375926076957,2.764910514944057,-0.6895608151882501,0.2566882479967297,0.24429426357527947,0.003577550788109101,7.29636749265613e-06,0.01914179911240719,0.0009484771696278777,0.22747754146363663,0.0418963486036843,0.003925043438036013,-2.9098878052842947,-0.1880655029007805,2.226425282400313,0.8511866881477426,1.4166479998380055,-0.7195530718381637,-0.37960817167478345
23,5.047824898744613,2.8375899711579953,2.843211941457013,-0.7174337598922793,0.2527947824761794,0.24726858986285472,0.003498772647258905,7.282341520641501e-06,0.01952611860729737,0.0009580741483735048,0.22946687632061546,0.04159162934354544,0.0038910731532058257,-5.047824898744613,-0.37993623876919624,4.278876459964698,1.8716294843587944,2.303556094790671,-1.4416366266695735,-1.2417981419841184
24,7.020016039053145,4.0738905562089265,2.9199910868948242,-0.7463999997238575,0.24954802645822477,0.25073693535138336,0.0034261018694750414,7.2700681042392e-06,0.019903024983103836,0.0009676719268514818,0.23126690366751065,0.04128502463585512,0.0038583352516224118,-7.020016039053145,-0.5478325837977471,6.291738011722714,2.892157315781141,3.1060649431612353,-2.1681880666940323,-2.0727093496849758
25,8.834776320838111,5.2535167348029885,2.996023130684805,-0.7766271448279568,0.24686325863337008,0.2546769781695589,0.003359232062348768,7.261330849759352e-06,0.020270714368706894,0.0009771057784535725,0.23288532917928095,0.0409769509194231,0.003826333218176231,-8.834776320838111,-0.6673553836984869,8.255376397213832,3.8952548700259104,3.827609977387847,-2.898220570087451,-2.884943701110887
26,10.497586680096449,6.374623658527185,3.0720279424267565,-0.8083308264225735,0.24467723275208003,0.25909217612663693,0.0032979612657993702,7.257587443712487e-06,0.02062789373600932,0.0009862516756987906,0.23431303143691173,0.040667418786547435,0.003794495451789608,-10.497586680096449,-0.718563961051788,10.162886223721724,4.867734356137321,4.464124581770723,-3.6317090366174587,-3.6930088378272052
