scheme,lambda0,lambdaF,Z0,Z_F,max_error_pct,rms_error_pct
linear_exp,1.0,1.0,1.0029803745634673,0.9916896744856013,0.6328966721950158,0.37374249197110976
exponential,1.0,1.0,1.0029848202952882,0.9916896744856013,0.6320669737503115,0.37334021001981316
propagator,1.0,1.0,1.002989283748715,0.9917068920356732,0.632912068241609,0.3732112356751033
determinant,1.0,1.0,1.0028950070174265,0.9919383619551886,0.6730830705012014,0.38733887750542667
