name,design_phase,x,y,z,center_energy_excess_fraction,Z0_inferred,ZF_from_c_d1,ZF_from_a_d0,ZF_from_a_d1,lambda0,lambdaF_c_d1,lambdaF_a_d0,lambdaF_a_d1
baseline_zero_bias,baseline,0.0,0.0,0.0,0.0625878658328138,1.0031109919625465,0.9911881195304411,0.9916897369179672,0.9914623411536271,1.042205526146788,1.0606210845120427,0.9999924559404357,1.0274731355983469
corridor_x_m3p0pct,corridor,-0.03,0.0,0.0,0.0587597747492378,1.0142914636836755,1.0100522066876225,0.9946708938626244,1.0074474244147922,5.071434882050915,-1.2766411226523566,0.6820171405363586,-0.9470546779292364
corridor_x_m5p0pct,corridor,-0.05,0.0,0.0,0.0563025408213176,1.0218904499858965,1.0229378027366407,0.9966882211053976,1.0180369263841962,8.076725711427594,-3.021003035753902,0.4418905777366595,-2.3812678795099957
corridor_x_m8p0pct,corridor,-0.08,0.0,0.0,0.0527566191435252,1.0334939813339497,1.0427399674444886,0.9998261327275946,1.033819769408864,13.11400955383335,-5.9497509716620565,0.024719512721067847,-4.728381554775311
corridor_x_p3p0pct,corridor,0.03,0.0,0.0,0.0665892179433949,0.9922103480058916,0.9728929414414805,0.9887837642323409,0.9766636299347994,-2.466212266505403,3.095234451938105,1.2704322595112174,2.659549359681867
corridor_x_p5p0pct,corridor,0.05,0.0,0.0,0.0693543645202339,0.9850540538026703,0.9609613016548809,0.986873154729203,0.9663266063195365,-4.5596843359526344,4.306268963127725,1.428940039765352,3.7041720845586714
corridor_x_p8p0pct,corridor,0.08,0.0,0.0,0.0736502501446383,0.9744803710364189,0.9434515658862638,0.9840466166903674,0.951711043521971,-7.370904491382407,5.927703900255689,1.6376734975556577,5.040086341768083
corridor_y_m3p0pct,corridor,0.0,-0.03,0.0,0.0707663967256534,1.0139653344920527,1.008029357053217,1.0337462059592368,0.9524022147635889,4.115556041167678,-0.8475731762366008,-3.517484856398763,5.168537735424422
corridor_y_m5p0pct,corridor,0.0,-0.05,0.0,0.0766137381939089,1.0214749668653915,1.0216616850064295,1.0645419566117003,0.9289032004984662,5.82402338985548,-2.097900963987782,-6.122722285163824,7.219730905485169
corridor_y_m8p0pct,corridor,0.0,-0.08,0.0,0.0859893029952281,1.0331585939584695,1.045782168106785,1.1152240428243114,0.897598961622029,7.966512113659111,-3.90441805910394,-9.511821487998416,9.422558733140251
