scale_ratio_Lambda_over_M,log_interval,sign,N_eff,mismatch_pct,below_1pct_flavor_window
1.0,0.0,suppression,21.0,0.0,True
1.0,0.0,enhancement,21.0,0.0,True
1.0155211276345681,0.015401906976548842,suppression,20.997697018209042,-0.010966579956939171,True
1.0155211276345681,0.015401906976548842,enhancement,21.002303259217168,0.010967901034142358,True
1.0312831606721848,0.03080381395309768,suppression,20.99539431380923,-0.021931839003674902,True
1.0312831606721848,0.03080381395309768,enhancement,21.0046067958956,0.021937123312376627,True
1.0472898382363585,0.046205720929646324,suppression,20.993091886765512,-0.03289577730708482,True
1.0472898382363585,0.046205720929646324,enhancement,21.00691061007037,0.03290766700176917,True
1.0635449574860112,0.06160762790619515,suppression,20.990789737042835,-0.04385839503411315,True
1.0635449574860112,0.06160762790619515,enhancement,21.009214701776557,0.04387953226931973,True
1.080052374516253,0.077009534882744,suppression,20.98848786460616,-0.05481969235161532,True
1.080052374516253,0.077009534882744,enhancement,21.011519071049225,0.05485271928202806,True
1.096816005273138,0.09241144185929272,suppression,20.98618626942044,-0.06577966942648006,True
1.096816005273138,0.09241144185929272,enhancement,21.01382371792346,0.06582722820696052,True
1.1138398264826195,0.10781334883584155,suppression,20.983884951450644,-0.07673832642550726,True
1.1138398264826195,0.10781334883584155,enhancement,21.01612864243435,0.07680305921118347,True
1.1311278765939214,0.12321525581239039,suppression,20.981583910661737,-0.08769566351554126,True
1.1311278765939214,0.12321525581239039,enhancement,21.018433844616986,0.08778021246182988,True
1.1486842567375537,0.13861716278893918,suppression,20.97928314701869,-0.09865168086337084,True
1.1486842567375537,0.13861716278893918,enhancement,21.020739324506458,0.09875868812598831,True
1.1665131316981963,0.154019069765488,suppression,20.976982660486488,-0.10960637863577372,True
1.1665131316981963,0.154019069765488,enhancement,21.02304508213787,0.10973848637081396,True
1.1846187309026837,0.16942097674203674,suppression,20.97468245103011,-0.12055975699948318,True
1.1846187309026837,0.16942097674203674,enhancement,21.025351117546325,0.12071960736346199,True
1.2030053494233244,0.1848228837185856,suppression,20.972382518614538,-0.13151181612125473,True
1.2030053494233244,0.1848228837185856,enhancement,21.027657430766933,0.1317020512711098,True
1.221677348996792,0.20022479069513444,suppression,20.970082863204766,-0.14246255616777725,True
1.221677348996792,0.20022479069513444,enhancement,21.029964021834807,0.14268581826097915,True
1.240639159058832,0.21562669767168316,suppression,20.96778348476579,-0.15341197730576184,True
1.240639159058832,0.21562669767168316,enhancement,21.03227089078506,0.15367090850029186,True
1.2598952777950274,0.23102860464823205,suppression,20.965484383262613,-0.16436007970184185,True
1.2598952777950274,0.23102860464823205,enhancement,21.034578037652818,0.16465732215626971,True
1.2794502732078736,0.24643051162478083,suppression,20.963185558660232,-0.1753068635227062,True
1.2794502732078736,0.24643051162478083,enhancement,21.036885462473208,0.17564505939622332,True
1.299308784200416,0.2618324186013296,suppression,20.960887010923663,-0.1862523289349327,True
1.299308784200416,0.2618324186013296,enhancement,21.03919316528136,0.1866341203874411,True
1.3194755216767062,0.2772343255778784,suppression,20.958588740017916,-0.19719647610516589,True
1.3194755216767062,0.2772343255778784,enhancement,21.04150114611241,0.19762450529718922,True
1.3399552696593386,0.29263623255442717,suppression,20.95629074590801,-0.20813930519995028,True
1.3399552696593386,0.29263623255442717,enhancement,21.0438094050015,0.20861621429286714,True
1.3607528864243335,0.30803813953097603,suppression,20.95399302855897,-0.21908081638586374,True
1.3607528864243335,0.30803813953097603,enhancement,21.046117941983773,0.21960924754178546,True
1.3818733056536323,0.3234400465075247,suppression,20.95169558793582,-0.23002100982942864,True
1.3818733056536323,0.3234400465075247,enhancement,21.04842675709438,0.2306036052113214,True
1.403321537605485,0.33884195348407364,suppression,20.949398424003594,-0.2409598856971784,True
1.403321537605485,0.33884195348407364,enhancement,21.050735850368476,0.241599287468941,True
1.425102670302998,0.3542438604606224,suppression,20.947101536727327,-0.2518974441555799,True
1.425102670302998,0.3542438604606224,enhancement,21.053045221841213,0.25259629448197707,True
1.4472218707411348,0.36964576743717126,suppression,20.94480492607206,-0.2628336853711444,True
1.4472218707411348,0.36964576743717126,enhancement,21.05535487154776,0.26359462641789566,True
1.4696843861124462,0.38504767441371995,suppression,20.942508592002838,-0.27376860951029425,True
1.4696843861124462,0.38504767441371995,enhancement,21.057664799523284,0.2745942834442072,True
1.4924955450518296,0.40044958139026887,suppression,20.940212534484715,-0.28470221673945195,True
1.4924955450518296,0.40044958139026887,enhancement,21.059975005802954,0.2855952657283556,True
1.5156607589006033,0.4158514883668176,suppression,20.937916753482735,-0.29563450722507323,True
1.5156607589006033,0.4158514883668176,enhancement,21.062285490421953,0.2965975734378734,True
1.5391855229902058,0.43125339534336643,suppression,20.93562124896197,-0.3065654811334806,True
1.5391855229902058,0.43125339534336643,enhancement,21.06459625341546,0.30760120674027114,True
1.5630754179458164,0.4466553023199153,suppression,20.93332602088747,-0.31749513863109646,True
1.5630754179458164,0.4466553023199153,enhancement,21.066907294818655,0.31860616580312584,True
1.587336111010209,0.462057209296464,suppression,20.931031069224314,-0.32842347988422116,True
1.587336111010209,0.462057209296464,enhancement,21.069218614666735,0.32961245079397017,True
1.6119733573881576,0.47745911627301285,suppression,20.92873639393757,-0.3393505050591883,True
