block,multiplicity,C2_adj,g_match,g_sq,leading_log_epsilon_per_cg
SU4,15,4.0,0.580379389023194,0.33684023520293593,0.022993250172210683
SU2L,3,2.0,0.541853061524504,0.2936047402834779,0.010020963263218427
SU2R,3,2.0,0.5230584114817481,0.27359010182180976,0.009337847736686646
