name,design_phase,x,y,z,Gmax_y,max_error_pct,rms_error_pct,a_d0_fit,h_d0_fit,err_ct,err_ut,err_sb,err_db,err_Vus,err_Vcb,err_Vub
baseline_zero_bias,baseline,0.0,0.0,0.0,0.7578184046549293,0.6971630963601205,0.4806276773169116,0.2577452319272851,2.6632480949094623,0.15973505404689448,-0.44486708122554175,0.6369274582176843,0.6971630963601205,-0.5546548592081813,-0.025933390749022234,-0.4399672924375042
axis_x_m2p0pct,phase1_axis,-0.02,0.0,0.0,0.7507485862340532,3.279169374267732,1.9221054325718405,0.25668563821700374,2.641731844083797,-0.5024800490369352,-3.279169374267732,0.795773890741569,-1.7732835764139865,-2.2554825821945235,-0.10279321387104412,-2.4454914069923284
axis_x_m1p0pct,phase1_axis,-0.01,0.0,0.0,0.7542708210413742,1.866426021224299,1.0945886483768061,0.2571984823101416,2.652463636131996,-0.1687020292432062,-1.866426021224299,0.7140940326799461,-0.5392844020411625,-1.4071246971777307,-0.06976600049281023,-1.4454198472026447
axis_x_p1p0pct,phase1_axis,0.01,0.0,0.0,0.7613670157520085,1.9355395265944209,0.901205402026602,0.25832519960830247,2.674001421006767,0.482827716761558,0.9852127567051117,0.5641734801907994,1.9355395265944209,0.3018446600304925,0.029119491932916297,0.5699722257150208
axis_x_p2p0pct,phase1_axis,0.02,0.0,0.0,0.7649167029279412,3.175297365934915,1.7200534650825396,0.25893778644561327,2.684725448019428,0.8005763982423142,2.4235031690853948,0.49576221751781446,3.175297365934915,1.1622691905678773,0.09581761978270098,1.5834939384702595
axis_y_m2p0pct,phase1_axis,0.0,-0.02,0.0,0.7417672495076388,10.104179736302775,5.787563906468327,0.278420759582278,2.5685887896672206,-1.2527214300013023,-2.9929180932287247,-2.820636577170388,10.104179736302775,4.3866738409075845,1.5930936506994842,9.597557423419723
axis_y_m1p0pct,phase1_axis,0.0,-0.01,0.0,0.749809536079319,5.308522665224946,2.8470171053297575,0.2677632977667933,2.6162292514394276,-0.5223455969225466,-1.6684516136673322,-1.1494341560664978,5.308522665224946,1.9209633904043955,0.7727226052198999,4.460174518813931
axis_y_p1p0pct,phase1_axis,0.0,0.01,0.0,0.765966789828481,5.180768888144794,2.9271478484843256,0.24824732745274067,2.710477877077412,0.8000061874807507,0.6836442901802409,2.6176819170841803,-3.8535516988792873,-3.1122019190683248,-0.8010592364580904,-5.180768888144794
axis_y_p2p0pct,phase1_axis,0.0,0.02,0.0,0.7741187135347329,9.684121064581985,5.6944135764861015,0.2394808454283928,2.7570581348146206,1.3892972167723228,1.705044599190897,4.863156849995942,-8.328840958146344,-5.7450966255272355,-1.5293383323645715,-9.684121064581985
axis_z_m2p0pct,phase1_axis,0.0,0.0,-0.02,0.7567311760043955,2.654182906128111,1.1477285619570456,0.26104144682519625,2.652238467364741,0.2356564438107389,-0.6722881385764823,0.15364814270988347,2.654182906128111,0.18627506487287615,0.26956260394581655,1.2400820999286521
axis_z_m1p0pct,phase1_axis,0.0,0.0,-0.01,0.7572803395012391,1.6737629196698522,0.7078649499219006,0.2593805706438935,2.657765006394648,0.20180483632938895,-0.553441661829901,0.3920647382820608,1.6737629196698522,-0.18698243000744297,0.12155899284083116,0.3943989834452877
