n_fixed,fixed,n_fitted,max_error_pct,rms_error_pct,h_Q,h_u0,h_u1,a_d0,a_d1,h_d0,h_d1
0,,7,5.229039423682025e-10,2.2562261854661312e-10,2.7925389337944106,2.9120088678703735,-0.03160013959385012,0.25964116752925454,0.2422827169974288,2.6640093114499566,-0.6589858824727635
1,c_Q,6,0.2892299131050491,0.1771489716455063,2.7789116689875484,2.9131618481760406,-0.03163394133205063,0.26039323046469876,0.24244257631639704,2.662774052250341,-0.6585421635522134
1,c_u0,6,0.014948234408929117,0.008791699587152035,2.792545502925675,2.90522583575971,-0.03159143575778375,0.25938231270787937,0.24228658935911188,2.658933013325745,-0.6579718046901715
1,c_u1,6,0.03467399234600155,0.020271614432976072,2.7928289863947695,2.8976264365651008,-0.03157854169304032,0.25908143157891905,0.24228943359125318,2.6532803363418047,-0.656849921822587
1,a_d0,6,0.18946966046025082,0.12217778731626491,2.7920650136224676,3.0008164680185487,-0.031731398405102466,0.2635365830624751,0.24231417880188816,2.7293094032856877,-0.6721064899151167
1,a_d1,6,0.570804767075006,0.34392073635890774,2.794086232403412,2.6725138394456254,-0.03139755278542578,0.2513178972577204,0.24395430601509957,2.4834222294040025,-0.6261391802639159
1,c_d0,6,0.034123402633623456,0.019703411357472528,2.7925346122432733,2.8967900645221913,-0.03158090337740452,0.2590694446463658,0.24229212096055508,2.6525975022153876,-0.6567050054130965
1,c_d1,6,0.06247689543399382,0.03593055506044352,2.7926804300017496,2.9393271376147374,-0.031636603604991,0.2606793504029936,0.24229498459111182,2.6844803662106176,-0.6631493755538469
2,c_Q+c_u0,5,0.30709862537232624,0.17753344785566996,2.7789116689875484,2.90522583575971,-0.031623713220356044,0.2600898213697867,0.2424475469690316,2.656838581263202,-0.6573549305692159
2,c_Q+c_u1,5,0.3456237550142127,0.18676686810138948,2.7789116689875484,2.8757068108683503,-0.03157854169304032,0.25899224406297755,0.24248351141945032,2.6346889466288252,-0.6529567015715357
2,c_Q+a_d0,5,0.4272951454987295,0.20796830622869286,2.7789116689875484,2.984811561175717,-0.03173727112242697,0.2635365830624751,0.24243304229075965,2.7154628705647155,-0.669083338273708
2,c_Q+a_d1,5,0.7608085045886392,0.3877249754523785,2.7789116689875484,2.7229407182165017,-0.03145577463259325,0.2532570162950576,0.24395430601509957,2.520744824716287,-0.6332432773018845
2,c_Q+c_d0,5,0.31991785329321676,0.17825394339544556,2.7789116689875484,2.8995781622805943,-0.03161658307044178,0.2598809787043047,0.24245064227679813,2.6525975022153876,-0.6565038532173176
