name,design_phase,x,y,z,success,nfev,cost,max_error_pct,rms_error_pct,h_Q,h_u0,h_u1,a_d0,a_d1,h_d0,h_d1,err_ct,err_ut,err_sb,err_db,err_Vus,err_Vcb,err_Vub,Gmax_y
baseline_zero_bias,baseline,0.0,0.0,0.0,True,5,1.447186896731379e-22,1.2017498107752542e-09,4.5468778957279175e-10,2.792280113590361,2.9115388457735385,-0.0315982299594752,0.2596392831231185,0.2422897716026858,2.66361684615818,-0.6589128653772922,-1.886268918838141e-11,-1.2017498107752542e-09,-4.429789868254375e-12,3.7325698087897756e-11,2.7311486405778848e-11,-7.549516567451064e-13,-2.1660451210436804e-11,0.7578858342729289
corridor_x_m3p0pct,corridor,-0.03,0.0,0.0,True,8,6.020550332527554e-23,7.748135466556504e-10,2.932709903963592e-10,2.796920307386454,2.873559270978922,-0.0316601459642611,0.2613970393945298,0.2433707035679612,2.629222235171515,-0.6545976551486268,-1.2745360322696795e-11,-7.748135466556504e-10,3.907985046680551e-12,-3.368416656712725e-11,-1.8973711490843925e-11,-3.0531133177191805e-12,-6.117328865684613e-12,0.7472917887964245
corridor_x_m5p0pct,corridor,-0.05,0.0,0.0,True,8,1.286593545819677e-22,1.132760552025047e-09,4.2871782692685424e-10,2.800190838029041,2.847908792966197,-0.0317010347019097,0.2625804061689996,0.2441030085469833,2.6060467680603785,-0.6516523142001954,-1.1879386363489177e-12,1.132760552025047e-09,1.1546319456101628e-12,-1.5987211554602254e-12,-4.629630012686903e-12,-3.452793606584237e-12,5.837552663479073e-11,0.740244530814319
corridor_x_m8p0pct,corridor,-0.08,0.0,0.0,True,8,3.235969082331987e-23,5.684563930685727e-10,2.150072776755713e-10,2.8049911626689887,2.809719796049456,-0.0317637061819655,0.2644069870389998,0.2452278793674472,2.5715132489670185,-0.6472610518979073,-1.2556622408510519e-11,5.684563930685727e-10,4.374278717023117e-12,-1.5909495942878493e-11,3.1308289294429414e-12,-1.2878587085651816e-12,-3.586020369539256e-12,0.7296990872681364
corridor_x_p3p0pct,corridor,0.03,0.0,0.0,True,12,1.607030397373969e-23,3.783084956410221e-10,1.5151743743957238e-10,2.787929946425737,2.949287374481009,-0.031537112769913,0.2579138857972824,0.241231294819263,2.6978553429650787,-0.6631683052125927,-7.30526750203353e-12,-3.783084956410221e-10,1.0902390101819036e-11,9.015010959956271e-12,3.2795988147427124e-11,-7.37188088351104e-12,-1.272870697732742e-10,0.768504875253166
corridor_x_p5p0pct,corridor,0.05,0.0,0.0,True,7,2.9247783786711915e-24,1.4921397450962104e-10,6.463934979276498e-11,2.785148128109585,2.97402772195406,-0.0314948626125113,0.256773293815819,0.2405349171901612,2.72034634082199,-0.665913349929301,-5.369038547087257e-11,1.4921397450962104e-10,-1.2434497875801752e-11,7.505107646466058e-12,-8.071321389024888e-12,5.240252676230739e-12,6.161737786669619e-11,0.7755965852221345
corridor_x_p8p0pct,corridor,0.08,0.0,0.0,True,9,3.4389551354415266e-22,1.5950130105579772e-09,7.009133577419262e-10,2.7811619753166448,3.0104967272867382,-0.0314290618111158,0.2550756218116411,0.239502304029946,2.7535746532562406,-0.6698901965938087,6.66444677221989e-10,1.5950130105579772e-09,2.5843771567224394e-10,-1.1584067038938883e-10,5.758282739520837e-10,-1.9624302183274267e-10,-2.1049828546892968e-11,0.7862503029483082
corridor_y_m3p0pct,corridor,0.0,-0.03,0.0,True,11,5.308660132234231e-23,7.269296276035674e-10,2.7538698991196823e-10,2.713118332367204,2.6788238452459745,-0.031157352992453,0.253530126993041,0.2463766356761148,2.4857695811767377,-0.6308573336608316,3.6637359812630166e-11,7.269296276035674e-10,-4.407585407761872e-12,-3.055333763768431e-11,5.773159728050814e-12,5.928590951498336e-12,-8.693046282814976e-12,0.7337721136892158
corridor_y_m5p0pct,corridor,0.0,-0.05,0.0,True,12,3.154241716560418e-23,5.586420215308863e-10,2.1227468399146016e-10,2.672958750645774,2.4739896887779405,-0.03111367899957,0.2507587461085064,0.251842265908915,2.326463297800055,-0.6087138132619373,2.9309887850104126e-11,5.586420215308863e-10,3.197442310920451e-12,2.495781359357352e-11,-2.039479696236413e-11,-1.7763568394002505e-12,3.7836400679225335e-11,0.7178642088970869
corridor_y_m8p0pct,corridor,0.0,-0.08,0.0,True,21,1.1390544034696275e-22,1.0309086917459354e-09,4.0338824414522855e-10,2.669213122585537,1.994701572346291,-0.0319989339084848,0.2524732122908876,0.2706527168935954,1.947908132907532,-0.5613948594768209,1.7414958364270203e-10,-1.0309086917459354e-09,9.345857421294568e-11,-2.4913404672588516e-11,1.7947865416090278e-10,-6.012967901369848e-11,2.7755575615628917e-11,0.6942699410113903
corridor_y_p3p0pct,corridor,0.0,0.03,0.0,True,18,2.557547182070752e-24,1.300848317953296e-10,6.044658273785737e-11,2.8838359239049662,3.092224710395678,-0.0322948400837075,0.2670262949834431,0.2408840030101358,2.798268049758092,-0.6837676781036722,-4.0401015866109447e-11,-6.432632204678157e-11,7.30526750203353e-12,1.0769163338864018e-11,5.202505093393484e-11,-2.8976820942716586e-12,-1.300848317953296e-10,0.7822822133122322
corridor_y_p5p0pct,corridor,0.0,0.05,0.0,True,8,4.674821220658674e-23,6.743938740783051e-10,2.5842428160131626e-10,2.94966940871318,3.1940155703778914,-0.0328567141014631,0.2724338156891515,0.2408764199186617,2.8723282133094097,-0.6993566148653264,-2.8954616482224083e-11,6.743938740783051e-10,-2.4091839634365897e-12,5.240252676230739e-11,3.4727776210274897e-11,2.7533531010703882e-12,-8.871792189779626e-11,0.7986923182074483
corridor_y_p8p0pct,corridor,0.0,0.08,0.0,True,8,5.614933575256485e-23,7.471134821912527e-10,2.8321947155897205e-10,3.053772992599146,3.325673705094614,-0.0337989614885675,0.2810565980221595,0.2418022518845679,2.965514805502988,-0.7215528516908319,4.241051954068098e-12,-7.471134821912527e-10,1.2345680033831739e-11,2.6201263381153694e-12,-1.701971896750365e-11,-3.8191672047105385e-12,5.3224091800530005e-11,0.8235090023222698
