domain,coefficient,mean_abs_relative_error_pct,max_abs_relative_error_pct,baseline_relative_error_pct,actual_baseline,formula_baseline
local33,c_Q,0.6543198754132307,1.7046715193623108,-0.4786549837139997,3.684301760659124,3.6666666666666665
local33,c_u0,1.0708829227500463,2.8596742276312703,-0.2167175067280036,3.8416588806765306,3.8333333333333335
local33,c_u1,0.6469763806569133,1.9284816802832117,-0.062198203702235055,-0.041692598714143644,-0.041666666666666664
local33,a_d0,1.475918495839547,1.9679176615731375,1.5010440224904498,0.2596392831231185,0.2635365830624751
local33,a_d1,1.2441145071442665,2.9083682170979452,0.6870015194629486,0.2422897716026858,0.24395430601509957
local33,c_d0,0.8432049150439984,1.7449296407414217,-0.4135889971869755,3.5145357330942826,3.5
local33,c_d1,0.6803370772069959,1.4545137829878652,0.6430652418805582,-0.869409132061974,-0.875
all51,c_Q,1.0139547558954167,4.628954921769457,-0.4786549837139997,3.684301760659124,3.6666666666666665
all51,c_u0,1.9601096672864526,33.42186841913721,-0.2167175067280036,3.8416588806765306,3.8333333333333335
all51,c_u1,1.136066360093613,9.59725629753736,-0.062198203702235055,-0.041692598714143644,-0.041666666666666664
all51,a_d0,1.5083754629466348,3.643271502578027,1.5010440224904498,0.2596392831231185,0.2635365830624751
all51,a_d1,1.8363300920189514,10.528359145134536,0.6870015194629486,0.2422897716026858,0.24395430601509957
all51,c_d0,1.495381537084843,24.746375482955905,-0.4135889971869755,3.5145357330942826,3.5
all51,c_d1,0.9399177789539849,8.210146233098637,0.6430652418805582,-0.869409132061974,-0.875
