,h_Q,h_u0,h_u1,a_d0,a_d1,h_d0,h_d1
ct,-0.14025138142134677,-0.06304121907092404,-31.599223112985772,0.0,0.0,0.0,0.0
ut,0.2542108220266484,-0.07078840998529311,-63.239392180576196,0.0,0.0,0.0,0.0
sb,-0.10266692028939815,0.0,0.0,1.1160513374363372,-13.935317282510152,-1.5012168288389867,-7.1124986262375725
db,0.23330455303485054,0.0,0.0,-0.18886228549883918,19.069428649788215,1.0561286187819963,5.138405774027724
Vus,0.3715465537782773,-0.9441383949136842,-0.018975102777741375,2.24876245722559,12.183756924950575,2.175221770225625,5.23658347596488
Vcb,-0.14568294646663382,-3.4045129265103924,-0.2514236471483191,8.953089862370701,4.076957388583341,4.710447189972606,3.032347493890398
Vub,0.2835100077325639,2.3225370908006573,-0.1195313028508831,-2.0747657161475295,-0.7773091872338325,-3.5140911915668074,-2.5873685014573655
