block,multiplicity,C2_adj,b_minimal,g_UV,g_IR,M2_ratio_IR_over_UV_singlet,mu_ratio_IR_over_UV_singlet,mu_over_M2_ratio,kernel_ratio_massloop_mu2,kernel_ratio_derivative_mu2_over_M2,kernel_ratio_inverse_mass_1_over_M2,kernel_ratio_mu2_over_M4
SU4,15,4.0,-10.0,0.580379389023194,0.6169245670069012,1.1578390734390465,1.1578390734390465,1.0,1.3405913199821897,1.1578390734390465,0.8636778831705616,1.0
SU2L,3,2.0,-2.6666666666666665,0.541853061524504,0.5492413235875828,1.0628391194925193,1.0628391194925193,1.0,1.1296269939236336,1.0628391194925193,0.9408761699300986,1.0
SU2R,3,2.0,-2.6666666666666665,0.5230584114817481,0.5296949333224207,1.0583768387025305,1.0583768387025305,1.0,1.1201615327019623,1.0583768387025305,0.9448430496890928,1.0
