wall_scale,width_dimless,p_dimless,m_over_p,modulus_mass_dimless,locking_response_m2_over_m2_plus_p2,max_error_pct,rms_error_pct,below_1pct
action_FWHM,1.7517900037359464,0.5708446776539168,0.1,0.05708446776539168,0.009900990099009903,2.973057312761118,1.534687686409705,False
action_FWHM,1.7517900037359464,0.5708446776539168,0.11,0.06279291454193085,0.011955340381385238,2.9671992764461086,1.5316718137061904,False
action_FWHM,1.7517900037359464,0.5708446776539168,0.12000000000000001,0.06850136131847002,0.014195583596214515,2.960811379868944,1.528383517061715,False
action_FWHM,1.7517900037359464,0.5708446776539168,0.13,0.07420980809500918,0.01661913659160193,2.953901045055396,1.5248267123232997,False
action_FWHM,1.7517900037359464,0.5708446776539168,0.14,0.07991825487154836,0.01922322479403688,2.946476243277618,1.5210056052098413,False
action_FWHM,1.7517900037359464,0.5708446776539168,0.15000000000000002,0.08562670164808753,0.02200488997555013,2.9385454725729954,1.5169246808991759,False
action_FWHM,1.7517900037359464,0.5708446776539168,0.16,0.09133514842462669,0.0249609984399376,2.930117734107762,1.512588689496974,False
action_FWHM,1.7517900037359464,0.5708446776539168,0.17,0.09704359520116586,0.028088249586937515,2.9212025073594994,1.508002633043952,False
action_FWHM,1.7517900037359464,0.5708446776539168,0.18,0.10275204197770502,0.031383184812088336,2.9118097243472807,1.5031717539342575,False
action_FWHM,1.7517900037359464,0.5708446776539168,0.19,0.10846048875424419,0.03484219669916031,2.9019497431303387,1.4981015162166538,False
action_FWHM,1.7517900037359464,0.5708446776539168,0.2,0.11416893553078336,0.03846153846153847,2.8916333204243694,1.4927975997613816,False
action_FWHM,1.7517900037359464,0.5708446776539168,0.21000000000000002,0.11987738230732253,0.042237333588736714,2.8808715838283705,1.48726587390807,False
action_FWHM,1.7517900037359464,0.5708446776539168,0.22,0.1255858290838617,0.046165585654330404,2.8696760033674273,1.4815123922694335,False
action_FWHM,1.7517900037359464,0.5708446776539168,0.23,0.13129427586040088,0.050242188241998297,2.8580583629292944,1.4755433765128647,False
action_FWHM,1.7517900037359464,0.5708446776539168,0.24000000000000002,0.13700272263694005,0.05446293494704993,2.8460307312783373,1.469365190200895,False
action_FWHM,1.7517900037359464,0.5708446776539168,0.25,0.1427111694134792,0.058823529411764705,2.8336054332374294,1.4629843417591042,False
action_FWHM,1.7517900037359464,0.5708446776539168,0.26,0.14841961619001837,0.0633195953540652,2.8207950205780374,1.4564074535260252,False
action_FWHM,1.7517900037359464,0.5708446776539168,0.27,0.15412806296655754,0.06794668655047069,2.8076122433617456,1.4496412550304527,False
action_FWHM,1.7517900037359464,0.5708446776539168,0.28,0.1598365097430967,0.07270029673590506,2.7940700213474834,1.442692562145541,False
action_FWHM,1.7517900037359464,0.5708446776539168,0.29000000000000004,0.16554495651963588,0.07757586938474312,2.780181415789973,1.435568269174901,False
action_FWHM,1.7517900037359464,0.5708446776539168,0.30000000000000004,0.17125340329617506,0.08256880733944956,2.765959601706447,1.4282753270362998,False
