mode,scale_relative_to_radial,lambda0,lambdaF,max_error_pct,rms_error_pct,below_1pct
common,0.0,0.0,0.0,3.0012929469167116,1.5492285177528748,False
common,0.001,0.0010718550277230197,0.0010718550277230197,2.9984409456845995,1.5477594636350696,False
common,0.002,0.0021437100554460393,0.0021437100554460393,2.9955889898789945,1.5462905057935956,False
common,0.003,0.003215565083169059,0.003215565083169059,2.9927370794972097,1.54482164442112,False
common,0.004,0.004287420110892079,0.004287420110892079,2.9898852145527455,1.5433528787678397,False
common,0.005,0.005359275138615099,0.005359275138615099,2.9870333950417383,1.5418842106926063,False
common,0.006,0.006431130166338118,0.006431130166338118,2.984181620950088,1.5404156399708988,False
common,0.007,0.007502985194061138,0.007502985194061138,2.9813298922964915,1.538947165171249,False
common,0.008,0.008574840221784157,0.008574840221784157,2.97847820905357,1.5374787879131921,False
common,0.009000000000000001,0.009646695249507177,0.009646695249507177,2.9756265712564955,1.5360105083732412,False
common,0.01,0.010718550277230197,0.010718550277230197,2.9727749788917235,1.5345423263202378,False
common,0.011,0.011790405304953216,0.011790405304953216,2.96992343195146,1.5330742417319803,False
common,0.012,0.012862260332676236,0.012862260332676236,2.967071930435994,1.5316062568309692,False
common,0.013000000000000001,0.013934115360399256,0.013934115360399256,2.964220474369661,1.5301383692196908,False
common,0.014,0.015005970388122276,0.015005970388122276,2.9613690637224854,1.5286705803879759,False
common,0.015,0.016077825415845293,0.016077825415845293,2.9585176984880057,1.52720289121522,False
common,0.016,0.017149680443568315,0.017149680443568315,2.9556663786977966,1.525735301545328,False
common,0.017,0.018221535471291336,0.018221535471291336,2.9528151043387574,1.5242678102854204,False
common,0.018000000000000002,0.019293390499014355,0.019293390499014355,2.949963875422501,1.5228004192323017,False
common,0.019,0.020365245526737373,0.020365245526737373,2.947112691915721,1.5213331265978367,False
common,0.02,0.021437100554460395,0.021437100554460395,2.9442615538504358,1.5198659354360098,False
common,0.021,0.022508955582183413,0.022508955582183413,2.9414104612092373,1.5183988447781116,False
common,0.022,0.02358081060990643,0.02358081060990643,2.9385594140104665,1.5169318534813923,False
common,0.023,0.024652665637629453,0.024652665637629453,2.9357084122283217,1.5154649642820788,False
common,0.024,0.025724520665352472,0.025724520665352472,2.9328574559018383,1.5139981755488212,False
common,0.025,0.026796375693075494,0.026796375693075494,2.930006544983521,1.5125314877051865,False
common,0.026000000000000002,0.027868230720798512,0.027868230720798512,2.9271556795089193,1.511064902015031,False
common,0.027,0.02894008574852153,0.02894008574852153,2.924304859466176,1.5095984175117714,False
common,0.028,0.030011940776244552,0.030011940776244552,2.9214540848549353,1.5081320352288055,False
common,0.029,0.03108379580396757,0.03108379580396757,2.918603355677729,1.5066657562286487,False
common,0.03,0.032155650831690585,0.032155650831690585,2.915752671935179,1.5051995788429895,False
common,0.031,0.03322750585941361,0.03322750585941361,2.9129020336133404,1.503733505174635,False
common,0.032,0.03429936088713663,0.03429936088713663,2.910051440725203,1.50226753235285,False
common,0.033,0.03537121591485965,0.03537121591485965,2.90720089329235,1.5008016642512554,False
common,0.034,0.03644307094258267,0.03644307094258267,2.904350391274213,1.4993358987538543,False
common,0.035,0.037514925970305694,0.037514925970305694,2.901499934678986,1.4978702379340623,False
common,0.036000000000000004,0.03858678099802871,0.03858678099802871,2.8986495235367338,1.4964046798835005,False
common,0.037,0.039658636025751724,0.039658636025751724,2.8957991578305364,1.4949392269617867,False
common,0.038,0.040730491053474746,0.040730491053474746,2.892948837538456,1.4934738793629332,False
common,0.039,0.04180234608119777,0.04180234608119777,2.8900985627088094,1.4920086351129593,False
common,0.04,0.04287420110892079,0.04287420110892079,2.8872483332864407,1.4905434958230055,False
common,0.041,0.043946056136643805,0.043946056136643805,2.884398149312073,1.4890784630686777,False
common,0.042,0.045017911164366826,0.045017911164366826,2.881548010763191,1.4876135353527278,False
common,0.043000000000000003,0.04608976619208985,0.04608976619208985,2.8786979176487204,1.4861487133544236,False
common,0.044,0.04716162121981286,0.04716162121981286,2.8758478699921985,1.4846839966194927,False
common,0.045,0.048233476247535885,0.048233476247535885,2.8729978677529022,1.4832193869835373,False
common,0.046,0.04930533127525891,0.04930533127525891,2.8701479109559003,1.481754883868711,False
common,0.047,0.05037718630298192,0.05037718630298192,2.867297999587892,1.4802904873188016,False
common,0.048,0.051449041330704944,0.051449041330704944,2.8644481336520533,1.478826198217429,False
common,0.049,0.052520896358427965,0.052520896358427965,2.8615983131623057,1.4773620154805578,False
common,0.05,0.05359275138615099,0.05359275138615099,2.858748538104905,1.475897940970496,False
common,0.051000000000000004,0.05466460641387401,0.05466460641387401,2.855898808477275,1.4744339738013132,False
common,0.052000000000000005,0.055736461441597024,0.055736461441597024,2.853049124293161,1.472970115346971,False
common,0.053,0.05680831646932004,0.05680831646932004,2.850199485535354,1.4715063657450873,False
