zeta_2ay2L_over_16pi2,qF_effective_over_tree,inside_direct_flavor_1pct_scale_window
0.0,0.9999999999999961,True
0.005,0.9950469501640563,True
0.01,0.9901427242269653,True
0.015,0.9852866038140445,True
0.02,0.9804778845749484,True
0.025,0.9757158758433537,True
0.03,0.9709999003059582,True
0.035,0.9663292936817786,True
0.04,0.9617034044095322,True
0.045,0.9571215933453324,True
0.05,0.9525832334677856,True
0.055,0.948087709592225,True
0.06,0.9436344180924373,True
0.065,0.9392227666308959,True
0.07,0.9348521738955333,True
0.075,0.9305220693450142,True
0.08,0.9262318929597934,True
0.085,0.9219810950012444,True
0.09,0.9177691357764922,True
0.095,0.9135954854100428,True
0.1,0.9094596236216062,True
0.105,0.9053610395097922,True
0.11,0.9012992313418943,True
0.115,0.8972737063490167,True
0.12,0.8932839805266404,True
0.125,0.8893295784409485,True
0.13,0.8854100330397664,True
0.135,0.8815248854685341,True
0.14,0.8776736848914619,True
0.145,0.8738559883171418,True
0.15,0.8700713604284933,True
0.155,0.8663193734173092,True
0.16,0.862599606823331,True
0.165,0.8589116473766041,True
0.17,0.8552550888452034,True
0.17500000000000002,0.8516295318851913,True
0.18,0.8480345838960179,True
0.185,0.8444698588781994,True
0.19,0.8409349772955157,True
0.195,0.8374295659401817,True
0.2,0.8339532578013381,True
0.20500000000000002,0.8305056919373118,True
0.21,0.8270865133503469,True
0.215,0.8236953728648774,True
0.22,0.8203319270087935,True
0.225,0.8169958378971014,True
0.23,0.8136867731191711,True
0.23500000000000001,0.8104044056281284,True
0.24,0.8071484136330855,True
0.245,0.8039184804939622,True
0.25,0.8007142946190192,True
0.255,0.7975355493643836,True
0.26,0.7943819429364841,True
0.265,0.791253178296276,True
0.27,0.7881489630662268,True
0.275,0.7850690094389913,True
0.28,0.7820130340885946,True
0.28500000000000003,0.7789807580836278,True
0.29,0.7759719068022299,True
0.295,0.7729862098492286,True
0.3,0.7700234009750668,True
0.305,0.7670832179968371,True
