component,residual_energy,fraction_of_center_residual
bulk_quartic,0.048302958653900295,0.9999999999850637
brane_quartic,-3.74299227180245e-22,-7.748991730642799e-21
brane_mass,-7.486947133328465e-22,-1.549997627860026e-20
portal,7.214650696756909e-13,1.49362500718506e-11
