normalization,lambda_value,max_error_pct,rms_error_pct
unit_energy_operator,1.0,0.6320669737503115,0.37334021001981316
canonical_field_to_exact_energy_amplitude,1.0718550277230197,0.6110763268410313,0.35797153624696554
energy_density_conversion_squared,1.1488732004551152,0.6883864865666722,0.371929448092119
true_to_center_soft_mass_ratio,1.2651777911015358,0.8050417786432784,0.4440670695404446
sqrt_field_path_tortuosity,1.0987436407325055,0.6380722884868573,0.35928996627494336
field_path_tortuosity,1.207237588050121,0.7469404322351325,0.4016726745866042
