sector,generation,q,h,kappa_equals_qh,A_min,A_max,A_max_over_min,B_reconstruction_max_abs_error
QL,1,1.0,-1.9188623238633342,-1.9188623238633342,0.005223184896065368,191.45406871452295,36654.66042734683,2.220446049250313e-16
QL,2,1.0,0.0,0.0,1.0,1.0,1.0,0.0
QL,3,1.0,1.9188623238633342,1.9188623238633342,0.005223184896065591,191.4540687145311,36654.66042734683,2.220446049250313e-16
uR,1,1.0,0.40936975793197716,0.40936975793197716,0.325945305899664,3.06799939100163,9.412620263186287,2.220446049250313e-16
uR,2,1.0,0.3759750592829882,0.3759750592829882,0.3571579967599406,2.79988131043345,7.8393353525144684,2.220446049250313e-16
uR,3,1.0,0.3425803606339992,0.3425803606339992,0.39135963101993926,2.5551945595253764,6.5290192370280336,2.220446049250313e-16
dR,1,0.842234349327102,0.2523259318308996,0.21251756701395239,0.558800911896277,1.7895461133134691,3.202475291675328,2.220446049250313e-16
dR,2,1.3719205688201475,0.10431310972135638,0.1431093008243217,0.6757763200439421,1.479779581407911,2.1897476095517656,6.661338147750939e-16
dR,3,2.2347296196783497,-0.04369971238818682,-0.09765704164530599,0.7653470854983064,1.3065967310098427,1.7071950174856112,8.881784197001252e-16
