observable,target,posthoc_formula_model,percent_error
ct,0.0036847735647212647,0.0036987058905412974,0.3781053455610861
ut,7.310115297753477e-06,7.334340453200196e-06,0.33139224841178816
sb,0.018724903134906656,0.018629512003542913,-0.5094345785208176
db,0.0009404719971821064,0.000940163444446811,-0.03280828522486123
Vus,0.2243,0.225646927090395,0.6005024923740443
Vcb,0.0422,0.04217008115664916,-0.07089773305887226
Vub,0.00394,0.003929580185576965,-0.2644622950009001
