name,design_phase,x,y,z,max_abs_percent_error,rms_percent_error,h_Q,h_u0,h_u1,a_d0,a_d1,h_d0,h_d1,model_ct,model_ut,model_sb,model_db,model_Vus,model_Vcb,model_Vub,error_ct_pct,error_ut_pct,error_sb_pct,error_db_pct,error_Vus_pct,error_Vcb_pct,error_Vub_pct
baseline_zero_bias,baseline,0.0,0.0,0.0,0.6006550267003474,0.3682034509064266,1.9188623238633342,0.3759750592829882,-0.033394698648989,0.31621163318178863,0.48790861203019914,0.10431310972135634,-0.1480128221095432,0.0036986754475778496,7.334246098115815e-06,0.018629356154078562,0.0009401552809978088,0.2256472692248889,0.04216972942426622,0.003929555530442833,0.377279162814359,0.3301015015420239,-0.5102668897121188,-0.03367630139404776,0.6006550267003474,-0.07173122211795446,-0.26508805982656813
axis_x_m2p0pct,phase1_axis,-0.02,0.0,0.0,2.730980353727941,1.8924023203521831,1.9453385718472314,0.3797536714482623,-0.033317036203903146,0.31621163318178863,0.4854902298144357,0.10002788109217484,-0.1491200603117204,0.003658366475490017,7.2147273201356436e-06,0.018899115926518908,0.0009265064355809388,0.21848095855491384,0.04319797522603721,0.0038323993740631192,-0.7166543280725413,-1.3048765133314322,0.9303802020074858,-1.4849524114499912,-2.5943118346349325,2.364870203879632,-2.730980353727941
axis_x_m1p0pct,phase1_axis,-0.01,0.0,0.0,1.5023920331237228,0.8923978883949496,1.9320316610691224,0.37785964211025874,-0.03335376336464549,0.3162116331817884,0.48669942092231805,0.10215453834288184,-0.1485649990317654,0.003678190348131494,7.273224077766486e-06,0.018765655520405038,0.000933165759396981,0.2220136516160603,0.04268866754701634,0.0038808057538949254,-0.17866000377335656,-0.504659892277326,0.2176373634874107,-0.7768692536318844,-1.0193260739811416,1.1579799692330361,-1.5023920331237228
axis_x_p1p0pct,phase1_axis,0.01,0.0,0.0,2.267438038046965,1.322826276839778,1.9058291374856036,0.3740998758517818,-0.033435734537069925,0.3162116331817884,0.4891178031380803,0.1065037700413115,-0.1474635321392148,0.003719373610064614,7.3960282309317245e-06,0.018490166084025036,0.0009474921702242614,0.22938586351933932,0.0416409763053337,0.003978629923309863,0.9390005853987082,1.175260986713167,-1.2536088928760791,0.7464521073662134,2.267438038046965,-1.324700698261383,0.9804549063416879
axis_x_p2p0pct,phase1_axis,0.02,0.0,0.0,3.9829317628880423,2.404872558447705,1.8929306938372503,0.37223404493695617,-0.03347589077477598,0.31621163318178863,0.49032699424596143,0.1087266887669975,-0.14691713146441335,0.0037401779802302363,7.458147499120899e-06,0.018348033456677067,0.0009551946024087128,0.23323371594415787,0.04110220827117886,0.004028011269149084,1.5036043473450889,2.025032374153035,-2.012665569025218,1.5654485482522684,3.9829317628880423,-2.601402200997971,2.2337885570833382
axis_y_m2p0pct,phase1_axis,0.0,-0.02,0.0,12.793738407031551,7.9875600681873955,1.9052588370723356,0.3685302543056137,-0.032920235997223914,0.3225995319041097,0.502620437176091,0.11326985546390933,-0.14583302209658844,0.0035423798952241496,6.691622614891935e-06,0.017334945161718386,0.0009700371758424862,0.2529963552469718,0.03824424219371942,0.004200030882177314,-3.8643804563846085,-8.460778765714071,-7.423044932057,3.143653266547486,12.793738407031551,-9.373833664171993,6.599768583180565
axis_y_m1p0pct,phase1_axis,0.0,-0.01,0.0,6.534736686093057,4.0367506072813315,1.9119548173203593,0.37223404493695617,-0.03315450250155878,0.3193896129292232,0.49516375867748846,0.10872664205826083,-0.1469171395266193,0.0036194925743474674,7.005598377779159e-06,0.017981604875929532,0.0009537137442284877,0.23895741438690674,0.04019852648256813,0.004068510763801402,-1.7716418452088933,-4.165692435355995,-3.9695706494282446,1.4079895080403082,6.534736686093057,-4.742828240359886,3.2616945127259545
axis_y_p1p0pct,phase1_axis,0.0,0.01,0.0,5.093505632415685,3.872277195640235,1.9259822724767321,0.37975367144826216,-0.033636494875126315,0.3130652748611827,0.4806534653829099,0.100027924860244,-0.14912005209182505,0.003778546998474627,7.673743859270105e-06,0.019273429526763405,0.0009282888342996939,0.2128752668664916,0.0441442613021244,0.003780874243971164,2.5448899940872183,4.97432046835673,2.929395083674402,-1.2954306900063384,-5.093505632415685,4.607254270436956,-4.03872477230548
axis_y_p2p0pct,phase1_axis,0.0,0.02,0.0,10.570496457316935,7.8196019054411146,1.9333156014775146,0.3835702592971435,-0.03387980919225758,0.30995022332895145,0.4733983187356212,0.095869668306229,-0.15023880771198006,0.0038599954971956793,8.026575495876462e-06,0.019918311556385866,0.0009182317284716113,0.20059037644623812,0.04613233567852574,0.00362339209558078,4.755297154539528,9.800942515136057,6.373375674528736,-2.3647986093294215,-10.570496457316935,9.318330991767155,-8.035733614701012
axis_z_m2p0pct,phase1_axis,0.0,0.0,-0.02,1.7931760166311816,0.8720781508308579,1.9228315227458377,0.3759750592829882,-0.03333625037678478,0.31621163318178863,0.4907300579485891,0.10498281068421184,-0.14817211661854615,0.003681001685655018,7.283731740582844e-06,0.018561431494769246,0.0009486653891414374,0.22832209380530374,0.041967956561251435,0.003954947104197807,-0.1023639309172042,-0.36091848207566724,-0.8730172805683001,0.871199991480931,1.7931760166311816,-0.5498659685984952,0.3793681268478899
axis_z_m1p0pct,phase1_axis,0.0,0.0,-0.01,1.1947151139000134,0.5615916090162523,1.9208407175356814,0.3759750592829882,-0.033365448916064334,0.31621163318178863,0.4893193349893941,0.1046467522341355,-0.1480922837167042,0.003689406248415652,7.307883119164156e-06,0.018593235833340865,0.0009442754844294675,0.22697974600047774,0.04206413562068389,0.003941742880711084,0.12572505780927834,-0.030535477190174465,-0.7031667967367983,0.40442323203213615,1.1947151139000134,-0.32195350548841484,0.04423555104273724
axis_z_p1p0pct,phase1_axis,0.0,0.0,0.01,0.6896897662286738,0.47121419462627717,1.916896224783456,0.3759750592829882,-0.03342399971031327,0.31621163318178863,0.4864978890710036,0.10398185855734716,-0.14793372932931925,0.0037079040638615755,7.360532414861599e-06,0.018665114719293083,0.0009360422736854688,0.22432214357444663,0.04227430641804746,0.003917377558661337,0.6277319008626936,0.6896897662286738,-0.31929893139002186,-0.47101067441776,0.009872302472868633,0.1760815593541798,-0.5741736380371232
axis_z_p2p0pct,phase1_axis,0.0,0.0,0.02,1.0482333777915853,0.7559088747325163,1.91494230488516,0.3759750592829882,-0.033453352235264924,0.31621163318178863,0.48508716611180863,0.1036529744824535,-0.14785500293245835,0.0037170921980490858,7.386742366259577e-06,0.01870051322470343,0.0009319365169053029,0.223004278938435,0.04237787016295714,0.003905209671839986,0.8770860070547171,1.0482333777915853,-0.13025386581443366,-0.907574101342512,-0.5776732329759282,0.4214932771496205,-0.8830032527922249
pair_xm1p5_ym1p5,phase2_interaction,-0.015,-0.015,0.0,7.4869083117739095,5.005934311068307,1.92806813648908,0.3731657942506545,-0.03297663108377604,0.32099056002630694,0.4969775453393105,0.10761111674245268,-0.1471899827085143,0.0035512387206404427,6.762813667925716e-06,0.017874087588411164,0.0009490795719761258,0.23985122421724953,0.04002203800602417,0.004064838061431847,-3.623963365328886,-7.4869083117739095,-4.5437647413482,0.9152398816562046,6.933225241751906,-5.161047379089645,3.1684787165443318
pair_xm1p5_yp1p5,phase2_interaction,-0.015,0.015,0.0,10.052211031853586,6.799532657162192,1.9497507128820457,0.3845303846019522,-0.03369500815733978,0.31150385528876384,0.47521210539744263,0.09484973148375651,-0.150520300718134,0.0037869255103709395,7.748733079035605e-06,0.01978520649325275,0.0009141931878415868,0.2017528906555524,0.04587911306378226,0.0036272199831387823,2.772271995970055,6.000148608010636,5.6625305386466485,-2.7942149707016917,-10.052211031853586,8.718277402327645,-7.938579108152732
pair_xp1p5_ym1p5,phase2_interaction,0.015,-0.015,0.0,12.44687046180275,7.306779810283363,1.8893941721285235,0.36761007936777973,-0.033097803227657284,0.32099056002630705,0.5008066505142683,0.11442610628741884,-0.1455637954425204,0.00361046599979523,6.932248407326347e-06,0.017434356698522273,0.0009749873301702727,0.2522183304458236,0.038392294950637014,0.00420613926919927,-2.0166114313636463,-5.169096177501542,-6.892139452398915,3.670001136831602,12.44687046180275,-9.022997747305661,6.754803786783503
pair_xp1p5_yp1p5,phase2_interaction,0.015,0.015,0.0,8.742790247052113,5.134669417508536,1.9098050383145448,0.37880547301154077,-0.03382065287853934,0.31150385528876384,0.47883967872108785,0.10108729732849901,-0.14884215708111426,0.003851429741084975,7.949223345053733e-06,0.019398765893853132,0.000932488174778038,0.21180155020168626,0.04436968448718453,0.0037799275101062877,4.522833586283537,8.742790247052113,3.5987516415520115,-0.8489165470093707,-5.572202317571884,5.141432434086557,-4.062753550601839
pair_xm1p5_zm1p5,phase2_interaction,-0.015,0.0,-0.015,1.6299165583150477,1.0983910513547253,1.9416627951869676,0.37880547301154077,-0.03329260544833946,0.3162116331817884,0.4883116757328262,0.10157719288936501,-0.1489615904246566,0.0036549388106138503,7.206216519598458e-06,0.01878149114937606,0.0009362119069563672,0.22224561610005517,0.04279343678954614,0.0038757812876023872,-0.8096767300183161,-1.4213014969401305,0.3022072480787008,-0.4529736386095107,-0.9159090057712094,1.406248316460057,-1.6299165583150477
pair_xm1p5_zp1p5,phase2_interaction,-0.015,0.0,0.015,2.701596066802192,1.8025016380508163,1.9357007044671748,0.37880547301154077,-0.03337714265846111,0.3162116331817884,0.4838779750039275,0.10060255355220517,-0.14872357550797666,0.0036813478967354972,7.2808769674128515e-06,0.018883160971169544,0.0009233975617446054,0.21824032002216268,0.04309325551543124,0.0038373713435872745,-0.09296820891697699,-0.39997085065964777,0.845173057092441,-1.8155176856578747,-2.701596066802192,2.1167192308797267,-2.604788233825517
pair_xp1p5_zm1p5,phase2_interaction,0.015,0.0,-0.015,4.008520494286283,2.2228383851144686,1.9023131671376665,0.3731657942506545,-0.03341129627309304,0.31621163318178847,0.4917377172051564,0.10812406562259033,-0.1473092196194427,0.003716175806652207,7.387978686937877e-06,0.01836681813827081,0.0009575096211125543,0.23329111146868411,0.041216826503600104,0.004021617058466342,0.8522163269839123,1.0651458426152116,-1.9123463232677995,1.8116035332787161,4.008520494286283,-2.3297950151656366,2.0714989458462396
pair_xp1p5_zp1p5,phase2_interaction,0.015,0.0,0.015,2.182819180085782,1.5857818656432108,1.8964406444340138,0.3731657942506545,-0.03349944165270799,0.31621163318178847,0.48750554832757087,0.1071037858200775,-0.1470715538060346,0.003743119121169432,7.46538754087769e-06,0.018471393021406365,0.0009444705966391175,0.22919606342093243,0.04152345410903533,0.003983792043769401,1.5834231174143065,2.1240737909008267,-1.3538660877112974,0.42516943290091813,2.182819180085782,-1.6031893150821541,1.1114731921167742
pair_ym1p5_zm1p5,phase2_interaction,0.0,-0.015,-0.015,10.579648410896736,6.523325854609956,1.9115529595767653,0.37037751989264106,-0.03299276170300802,0.32099056002630705,0.5010081823655822,0.11150644782128634,-0.1464928080775514,0.003567401554648557,6.810200593244794e-06,0.017604919932037603,0.0009682631073145101,0.24803015138564136,0.039065368269305095,0.004153454126341889,-3.1853249056183475,-6.83867058379114,-5.981249648128751,2.9550172908574535,10.579648410896736,-7.42803727652821,5.4176174198449
pair_ym1p5_zp1p5,phase2_interaction,0.0,-0.015,0.015,8.68483305392127,5.510628951158942,1.9056356615140346,0.37037751989264106,-0.03308162125216561,0.32099056002630705,0.49677601348799666,0.1104630449780455,-0.1462552953415945,0.0035937580181282483,6.88312978765813e-06,0.017709447650702138,0.0009548857151147342,0.24378008053994543,0.03936935272292864,0.004116962666500573,-2.4700444951195055,-5.8410229210278946,-5.423021293560248,1.5326046895404621,8.68483305392127,-6.70769496936342,4.491438236055156
pair_yp1p5_zm1p5,phase2_interaction,0.0,0.015,-0.015,6.99115946820108,5.348211126813173,1.932595470588162,0.38165719464783077,-0.03371389477735962,0.31150385528876384,0.4792427424237149,0.09841168488327534,-0.149797508870231,0.003805168053306758,7.807476612125187e-06,0.019543981534166633,0.0009292892463564622,0.20861882931282497,0.04498298166705181,0.0037229707635803477,3.2673510724830823,6.803741037088118,4.374273091608494,-1.189057288164952,-6.99115946820108,6.594743286852611,-5.508356254305891
