sector,generation,operator,near_zero,eigenvalue_0,eigenvalue_1,eigenvalue_2,eigenvalue_3,eigenvalue_4,eigenvalue_5
QL,1,desired,1,-3.8350484037333384e-07,1.0181403761466379,1.0211419947997609,1.074907330157685,1.082212609760435,1.1704293088319366
QL,1,opposite,0,1.0166571792652386,1.0193523086943705,1.0688045164073723,1.0754933701795342,1.156962715010005,1.1672350176879904
QL,2,desired,1,3.4818675757024257e-06,0.8112749828011037,1.016712952483131,1.023512220657048,1.0674501669960113,1.0919145708332145
QL,2,opposite,0,0.8112815549904336,1.015421084163728,1.0214058774085184,1.0622523308154102,1.0840394737944747,1.1418779207075218
QL,3,desired,1,-3.8350538118406433e-07,1.0181403761468244,1.0211419948002827,1.0749073301578183,1.082212609761081,1.1704293088320543
QL,3,opposite,0,1.016657179265222,1.0193523086938483,1.068804516407353,1.0754933701793072,1.1569627150098645,1.1672350176876585
uR,1,desired,1,7.812497239519423e-06,0.8746922246155102,1.0171515640858553,1.0245811382242718,1.068886334495019,1.0948308986369168
uR,1,opposite,0,0.8747015511200209,1.015811964474526,1.0223467000029614,1.0635519131752365,1.0866844467911432,1.1441537664803643
uR,2,desired,1,7.241058857813938e-06,0.8653789575171181,1.0170865070817698,1.0243789815537458,1.068672357231442,1.0943088691624514
uR,2,opposite,0,0.8653880156491784,1.0157540117411132,1.0221684903551438,1.063358505052317,1.0862090076530138,1.1438109001859806
uR,3,desired,1,6.6864700731707335e-06,0.856649414480367,1.017025924467967,1.024207239704776,1.068473275966915,1.0938547921905384
uR,3,opposite,0,0.8566581752022993,1.0157000389340347,1.0220172046721228,1.0631784979887722,1.085796174788859,1.1434930195442659
dR,1,desired,1,4.275938612095157e-06,0.650548773006828,0.727883837688654,0.7366091593696832,0.7831557937133767,0.810168159609939
dR,1,opposite,0,0.6505516042260512,0.7261309199417361,0.7336446532233937,0.7763500984274768,0.800136709349636,0.8598897291501648
dR,2,desired,1,4.4515823938075534e-06,1.2276313603431963,1.8581890040285574,1.902822071261469,1.914857301458001,1.964225697550165
dR,2,opposite,0,1.2276481786545828,1.8581841625006508,1.9015178553689935,1.9125431125991612,1.9591398636552582,1.9870215063778485
dR,3,desired,1,-8.005643320039231e-07,2.1628990935300525,3.7600788252750488,4.811989083482451,5.014033523910335,5.019499586974052
dR,3,opposite,0,2.1629624478985114,3.760202145577255,4.812078644886744,5.013253484762064,5.018392671942562,5.070674878104846
