worldvolume_dimension_d,mediator_treatment,dlnZ0_domega,dlnZF_domega,best_omega_for_required_pair,predicted_lnZ0,predicted_lnZF,required_lnZ0,required_lnZF,relative_L2_mismatch,exact_pair_match
3,auxiliary_S,0.0,2.0,-0.004472340879927693,-0.0,-0.008944681759855386,0.0031945291999483524,-0.008944681759855386,0.3363363969981562,False
3,canonical_scalar_S,-0.5,1.0,-0.00843355708786365,0.004216778543931825,-0.00843355708786365,0.0031945291999483524,-0.008944681759855386,0.12033136751923736,False
4,auxiliary_S,0.0,2.0,-0.004472340879927693,-0.0,-0.008944681759855386,0.0031945291999483524,-0.008944681759855386,0.3363363969981562,False
4,canonical_scalar_S,-1.0,0.0,-0.0031945291999483524,0.0031945291999483524,-0.0,0.0031945291999483524,-0.008944681759855386,0.9417419115948374,False
