ell,mode_index,eigenvalue,abs_corr_translation_tangent,abs_corr_dilation_tangent
0,0,-0.09787346607904077,0.9398993662643975,0.6765634192558593
0,1,0.021427363333224005,0.3057682202369636,0.6823690112772085
0,2,0.07614135205725582,0.08865865976621527,0.06433192941962426
0,3,0.1617822504438731,0.09843189741054187,0.20681262856369975
0,4,0.27566664773519056,0.025720122619179303,0.005885506764422384
0,5,0.41489389015192285,0.04863568681655685,0.1097113949777379
0,6,0.5751333494492039,0.0122110259559006,0.004380550326794503
0,7,0.7496027543185871,0.03276333896859882,0.07175708218167198
1,0,0.0001993335335722598,0.9965182098034816,0.8481552093584304
1,1,0.03395560674819838,0.05715480930854381,0.47652858137316195
1,2,0.09466727729740575,0.03440287111755341,0.01157546368412464
1,3,0.18421766678007204,0.024686202215938643,0.16698963485527632
1,4,0.30190436173616847,0.019203625460351204,0.011667371811722393
1,5,0.44636184248768124,0.015693471133125383,0.09376068093775508
1,6,0.6154713717956798,0.01321951896815713,0.01503640299444394
1,7,0.8060280554504221,0.01136767897681323,0.06355783254094133
